----BEGIN SIMULATION RESULTS----
Scenario: sim_data.csv
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | BnB Usage | SRD Usage | Knapsack Usage | #BnB no change | #SRD no change | #Knapsack no change |
| sim_data.csv | 0.10000000 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -6.80000000E-7 | -6.80000000E-7 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| sim_data.csv | 636.11936002 | 44.0800000000 | 82 | 179 | 402 | 321 | 0 | 304 | 17 | 0.00004549 | 218.32484428 | 13.2354848072 | 48.2002641452 | 0.04870564 | 0.000151730965732 | -0.0000557600000 | 0.0486498800000 | 1 | 13 | 1.25233644860 | 1.16533357304 | 17 | 55 | 249 | 17 | 0 | 0 |
| sim_data.csv | 626.47639658 | 94.7990000000 | 200 | 341 | 765 | 659 | 0 | 623 | 36 | 0.00004549 | 218.32484428 | 23.2990474865 | 59.0313828481 | 0.08242779 | 0.000125080106222 | -0.000136000000 | 0.082291790000 | 1 | 13 | 1.16084977238 | 0.851380002706 | 36 | 113 | 510 | 36 | 0 | 0 |
| sim_data.csv | 683.25142213 | 138.792000000 | 250 | 511 | 1154 | 989 | 0 | 892 | 97 | 0.00004549 | 218.32484428 | 23.3336722305 | 59.0681313030 | 0.11335694 | 0.000114617735086 | -0.000170000000 | 0.113186940000 | 1 | 13 | 1.16683518706 | 0.737563689788 | 97 | 272 | 620 | 97 | 0 | 0 |
| sim_data.csv | 201.74608842 | 168.637500000 | 258 | 671 | 1590 | 1329 | 0 | 1176 | 153 | 0.00004549 | 249.99403233 | 22.2544690069 | 57.8305853833 | 0.14081299 | 0.000105954093303 | -0.000175440000 | 0.140637550000 | 1 | 13 | 1.19638826185 | 0.723811168866 | 153 | 468 | 708 | 153 | 0 | 0 |
| sim_data.csv | 123.56124945 | 178.189600000 | 230 | 840 | 2064 | 1660 | 0 | 1453 | 207 | 0.00004549 | 249.99403233 | 23.3067482479 | 57.6609953161 | 0.16901342 | 0.000101815313253 | -0.000156400000 | 0.168857020000 | 1 | 13 | 1.24337349398 | 0.783216466896 | 207 | 626 | 827 | 207 | 0 | 0 |
| sim_data.csv | 90.96306261 | 188.211333333 | 245 | 1016 | 2506 | 1984 | 0 | 1734 | 250 | 0.00004549 | 249.99403233 | 20.6825817423 | 53.7532819559 | 0.19315612 | 0.0000973569153226 | -0.000166600000 | 0.192989520000 | 1 | 17 | 1.26310483871 | 0.897876486871 | 250 | 727 | 1007 | 250 | 0 | 0 |
| sim_data.csv | 199.97756238 | 192.855142857 | 147 | 1192 | 3082 | 2308 | 0 | 2036 | 272 | 0.00004549 | 249.99403233 | 18.4403410852 | 50.0456578308 | 0.21722407 | 0.0000941178812825 | -0.0000999600000 | 0.217124110000 | 1 | 102 | 1.33535528596 | 2.37203354389 | 272 | 799 | 1237 | 272 | 0 | 0 |
| sim_data.csv | 158.82725990 | 186.021750000 | 135 | 1360 | 3582 | 2640 | 0 | 2356 | 284 | 0.00004549 | 249.99403233 | 18.2013876213 | 47.1888331317 | 0.23401359 | 0.0000886415113636 | -0.0000918000000 | 0.233921790000 | 1 | 102 | 1.35681818182 | 2.84205128439 | 284 | 820 | 1536 | 284 | 0 | 0 |
| sim_data.csv | 8.91036697 | 182.739333333 | 21 | 1526 | 4167 | 2974 | 0 | 2661 | 313 | 0.00004549 | 249.99403233 | 17.7800568609 | 44.5900444151 | 0.24779990 | 0.0000833220914593 | -0.0000142800000 | 0.247785620000 | 1 | 122 | 1.40114324143 | 3.55583194745 | 313 | 836 | 1825 | 313 | 0 | 0 |
| sim_data.csv | 13.03943896 | 171.862200000 | 127 | 1705 | 4555 | 3295 | 0 | 2976 | 319 | 0.00004549 | 249.99403233 | 16.0637220697 | 42.4603150800 | 0.25507354 | 0.0000774123034901 | -0.0000863600000 | 0.254987180000 | 1 | 122 | 1.38239757208 | 3.43099992590 | 319 | 848 | 2128 | 319 | 0 | 0 |
| sim_data.csv | 5.42818238 | 162.399272727 | 22 | 1878 | 5096 | 3622 | 0 | 3239 | 383 | 0.00004549 | 249.99403233 | 14.8847353814 | 40.8960549240 | 0.26016697 | 0.0000718296438432 | -0.0000149600000 | 0.260152010000 | 1 | 122 | 1.40695748205 | 3.30290494485 | 383 | 871 | 2368 | 383 | 0 | 0 |
| sim_data.csv | 5.00357150 | 149.475333333 | 8 | 2074 | 5609 | 3925 | 0 | 3542 | 383 | 0.00004549 | 249.99403233 | 13.6573116594 | 39.3132103955 | 0.26324627 | 0.0000670691133758 | -0.00000544000000 | 0.263240830000 | 1 | 122 | 1.42904458599 | 3.18041795016 | 383 | 908 | 2634 | 383 | 0 | 0 |
| sim_data.csv | 2.89433740 | 139.437384615 | 9 | 2243 | 6104 | 4256 | 0 | 3869 | 387 | 0.00004549 | 249.99403233 | 12.5488310795 | 37.7918763944 | 0.27379254 | 0.0000643309539474 | -0.00000612000000 | 0.273786420000 | 1 | 122 | 1.43421052632 | 3.07782253013 | 387 | 947 | 2922 | 387 | 0 | 0 |
| sim_data.csv | 0.87714355 | 131.143571429 | 9 | 2418 | 6597 | 4581 | 0 | 4187 | 394 | 0.00004549 | 249.99403233 | 11.9421618648 | 36.4349110540 | 0.27798597 | 0.0000606823772102 | -0.00000612000000 | 0.277979850000 | 1 | 122 | 1.44007858546 | 3.01418776026 | 394 | 965 | 3222 | 394 | 0 | 0 |
| sim_data.csv | 282.90856736 | 126.119466667 | 109 | 2572 | 6987 | 4927 | 0 | 4523 | 404 | 0.00004549 | 249.99403233 | 11.7556515689 | 35.9140715301 | 0.32763886 | 0.0000664986523239 | -0.0000741200000 | 0.327564740000 | 1 | 122 | 1.41810432312 | 2.90961086445 | 404 | 1045 | 3478 | 404 | 0 | 0 |
| sim_data.csv | 343.09529037 | 125.615750000 | 113 | 2735 | 7427 | 5264 | 0 | 4804 | 460 | 0.00004549 | 249.99403233 | 11.3300793851 | 35.0677202699 | 0.35678888 | 0.0000677790425532 | -0.0000768400000 | 0.356712040000 | 1 | 122 | 1.41090425532 | 2.82103516911 | 460 | 1235 | 3569 | 460 | 0 | 0 |
| sim_data.csv | 265.71622845 | 124.108352941 | 100 | 2892 | 7875 | 5607 | 0 | 5082 | 525 | 0.00004549 | 256.54571999 | 11.4584212618 | 36.4939074278 | 0.38436693 | 0.0000685512627073 | -0.0000680000000 | 0.384298930000 | 1 | 122 | 1.40449438202 | 2.74900191863 | 525 | 1378 | 3704 | 525 | 0 | 0 |
| sim_data.csv | 19.93565665 | 124.395000000 | 153 | 3064 | 8300 | 5935 | 0 | 5388 | 547 | 0.00004549 | 256.54571999 | 15.1205773554 | 44.9204656265 | 0.40613189 | 0.0000684299730413 | -0.000104040000 | 0.406027850000 | 1 | 122 | 1.39848357203 | 2.71561247622 | 547 | 1442 | 3946 | 547 | 0 | 0 |
| sim_data.csv | 4.28015040 | 122.764842105 | 17 | 3230 | 8876 | 6269 | 0 | 5662 | 607 | 0.00004549 | 256.54571999 | 14.3965634470 | 43.9373996086 | 0.41462621 | 0.0000661391306428 | -0.0000115600000 | 0.414614650000 | 1 | 122 | 1.41585579837 | 2.67522085561 | 607 | 1474 | 4188 | 607 | 0 | 0 |
| sim_data.csv | 39.48088456 | 117.484100000 | 26 | 3404 | 9347 | 6595 | 3 | 5968 | 627 | 0.00004549 | 256.54571999 | 13.7303133678 | 42.9009505572 | 0.42111739 | 0.0000638540394238 | -0.0000176800000 | 0.421099710000 | 1 | 122 | 1.41728582259 | 2.62329076656 | 627 | 1515 | 4453 | 627 | 0 | 0 |
| sim_data.csv | 27.17681924 | 115.518857143 | 115 | 3570 | 9743 | 6929 | 3 | 6287 | 642 | 0.00004549 | 256.54571999 | 13.6882771739 | 41.8202504946 | 0.42701557 | 0.0000616273011979 | -0.0000782000000 | 0.426937370000 | 1 | 122 | 1.40611920912 | 2.57354805995 | 642 | 1525 | 4762 | 642 | 0 | 0 |
| sim_data.csv | 19.55590041 | 116.445000000 | 191 | 3730 | 10143 | 7269 | 3 | 6603 | 666 | 0.00004549 | 256.54571999 | 13.3205416353 | 40.8512376057 | 0.43289534 | 0.0000595536304856 | -0.000129880000 | 0.432765460000 | 1 | 122 | 1.39537763104 | 2.52035425392 | 666 | 1539 | 5064 | 666 | 0 | 0 |
| sim_data.csv | 18.12204579 | 116.079217391 | 36 | 3897 | 10718 | 7602 | 3 | 6856 | 746 | 0.00004549 | 256.54571999 | 12.8362080765 | 40.1666405674 | 0.43960660 | 0.0000578277558537 | -0.0000244800000 | 0.439582120000 | 1 | 122 | 1.40989213365 | 2.48655842107 | 746 | 1569 | 5287 | 746 | 0 | 0 |
| sim_data.csv | 15.53285769 | 112.780500042 | 61 | 4065 | 11135 | 7893 | 3 | 7130 | 763 | 0.00001814 | 256.54571999 | 12.3689351608 | 39.4568243737 | 0.44477681 | 0.0000563507931078 | -0.0000414800000 | 0.444735330000 | 1 | 122 | 1.41074369695 | 2.45415049552 | 763 | 1598 | 5532 | 763 | 0 | 0 |
----END SIMULATION RESULTS----


