id,input_amounts
0,['0.00046000']
1,['0.10000000']
2,['0.09950495']
3,['0.09918192']
4,['0.09886031']
5,['0.09591190']
6,['5.73004593']
7,['1.91285970']
8,['0.09509449']
9,['0.09480262']
10,['0.06472062']
11,['2.98592356']
12,['0.80435539']
13,['0.02948222']
14,['0.77303701']
15,['0.02920244']
16,['0.67811457']
17,['0.01229062']
18,['0.01108336']
19,['0.66966918']
20,"['0.66344713', '1.09288664']"
21,['0.58037964']
22,['0.57050841']
23,"['0.03300516', '0.09136964', '0.00380708', '0.28280218', '0.00486131', '0.55878031', '0.00131873']"
24,['0.32886891']
25,['0.27166831']
26,"['0.00934461', '0.00102730', '7.14130000']"
27,['0.26946244']
28,['0.13875559']
29,['0.13855958']
30,['0.13822993']
31,['0.13110758']
32,['0.12875703']
33,['0.12854828']
34,['0.11665413']
35,['6.88195498']
36,['0.11634898']
37,['0.11424047']
38,['0.11273778']
39,['0.11253974']
40,['0.11035939']
41,['0.11015451']
42,['0.10861830']
43,['0.10841992']
44,['6.30086258']
45,['6.08404264']
46,['3.49164890']
47,['0.06653741']
48,['0.06572062']
49,['0.06127610']
50,['0.02280732']
51,['0.00014333']
52,['3.41996538']
53,['0.01896992']
54,['2.97302192']
55,['0.01880350']
56,['2.52658428']
57,['2.43299193']
58,['0.01863744']
59,['2.31383555']
60,['2.29368126']
61,['0.46914777']
62,['0.46454232']
63,['0.26439625']
64,['0.16485019']
65,['0.14674412']
66,['0.13178032']
67,['0.00579214']
68,['0.00564504']
69,"['0.13016508', '2.25683172']"
70,['2.12778595']
71,['0.10332846']
72,['0.37801960']
73,"['24.38491900', '0.00171973']"
74,['24.02394173']
75,['0.07414235']
76,['17.94081367']
77,['9.98525830']
78,['0.05210994']
79,"['0.00549794', '0.00615171', '0.09030113', '0.49900000', '0.18681505', '0.15234500', '0.27780364', '0.13000000', '0.03442858', '0.13066032', '36.38510000', '0.26384898']"
80,['5.07801866']
81,['5.06807002']
82,['5.00557606']
83,['4.39167420']
84,['2.95772401']
85,"['0.00000546', '14.41445754', '2.35830000', '0.00000567', '0.00000546', '0.00000546', '0.00000546']"
86,['0.28215684']
87,['0.26234790']
88,['0.00342194']
89,['0.25247910']
90,['0.23928053']
91,['0.23754549']
92,['0.23508574']
93,['2.93982282']
94,['0.21894926']
95,['2.53968634']
96,['0.17481278']
97,['1.53954986']
98,['0.00986914']
99,['0.00235489']
100,['0.00221591']
101,['0.00207693']
102,['0.00193795']
103,['0.00179950']
104,['0.00122274']
105,['0.00310377']
106,['1.32521170']
107,['0.00087237']
108,"['0.02900000', '0.00445000', '0.37317718', '0.00664104', '6.84288194']"
109,['0.00073707']
110,['0.00253636']
111,['1.32260496']
112,['0.00040344']
113,['1.31682983']
114,['0.00240494']
115,['1.31105484']
116,['0.00227352']
117,['1.30527991']
118,['1.29950499']
119,['1.29784201']
120,['1.27915319']
121,['0.00027202']
122,['1.27337838']
123,['0.00214210']
124,['1.26760373']
125,['1.26182908']
126,['0.00201099']
127,['0.00187988']
128,['1.25605427']
129,['0.00174877']
130,['1.25027966']
131,['0.00161766']
132,['1.24450503']
133,['0.00148655']
134,['1.23873057']
135,['0.00135575']
136,['1.23295622']
137,['0.00122495']
138,['1.22718174']
139,['1.22140742']
140,['0.00109415']
141,['0.00096335']
142,['1.21563306']
143,['0.00083255']
144,['1.20985877']
145,['1.20712962']
146,['1.19693397']
147,"['1.18723746', '8.84991102']"
148,['0.24605640']
149,['0.19593130']
150,['0.00070175']
151,['0.18538436']
152,['0.00057283']
153,['0.00044482']
154,['0.18386585']
155,['0.17857657']
156,['5.36538820']
157,['3.43963743']
158,['0.16608908']
159,['0.16596122']
160,['0.16583352']
161,['0.16053781']
162,['0.15889044']
163,['1.51413672']
164,['0.13117852']
165,['0.05792363']
166,['0.05016379']
167,['0.04442142']
168,['0.69389769']
169,['0.64581114']
170,['0.57318394']
171,['0.49885601']
172,['0.23820361']
173,['0.00031681']
174,"['0.03473332', '0.01061995']"
175,['0.00569945']
176,['0.00295060']
177,"['0.13033016', '0.00520488', '0.00007230']"
178,['0.03123869']
179,['0.02430399']
180,"['4.59877152', '0.00066891', '0.01221265', '0.00503431']"
181,"['0.09807589', '4.08109829', '0.01040000', '0.00048151', '0.00564896', '0.97339885', '0.01114421', '0.10000000']"
182,['0.01413500']
183,['0.00204646']
184,"['0.00019495', '0.04657040']"
185,"['0.01100000', '0.02404671', '0.00564900', '0.01408371', '0.01246026', '0.03700000', '0.00800000', '0.02776271', '0.04196327', '0.00663588', '0.00664207', '0.02640675', '0.00664516', '0.00564905']"
186,['0.00145616']
187,['0.14852427']
188,['0.03633818']
189,['0.03480938']
190,['0.03203058']
191,['9.74076245']
192,['0.00632321']
193,['8.75912360']
194,['0.00981188']
195,['7.78173040']
196,['0.00479386']
197,['6.80717015']
198,['0.00564914']
199,['5.83644015']
200,['0.02866378']
201,['4.86754410']
202,['0.98777725']
203,['0.98549690']
204,['0.00564908']
205,['0.02588343']
206,['3.90148090']
207,['0.00703308']
208,['2.94366685']
209,['218.32762463']
210,['0.08391344']
211,['218.21236318']
212,"['0.02021198', '0.00300000', '0.00214458', '0.00519207']"
213,['218.16158207']
214,['0.05273183']
215,['218.06433620']
216,['0.07811508']
217,['217.97192201']
218,['1.99282805']
219,"['0.01401991', '0.07806148', '0.04208708', '0.00017460', '0.03152186']"
220,['217.73420270']
221,['1.79124394']
222,"['0.00564909', '216.70288719', '0.00564906']"
223,"['0.94889205', '0.00166700']"
224,"['0.92570399', '0.00014091']"
225,['0.05841630']
226,['216.61335920']
227,['0.02310363']
228,['216.27567643']
229,['216.26599034']
230,['0.05846990']
231,"['0.00331542', '216.18025331']"
232,"['0.01471225', '0.01557088', '0.06295674', '0.03596880']"
233,"['0.01412226', '0.91615881']"
234,['0.88887074']
235,['216.04578099']
236,['201.37638461']
237,['0.00564910']
238,['0.04104857']
239,"['0.00133734', '201.21161629', '0.00850556', '0.61287547']"
240,['0.16560971']
241,"['0.00101451', '200.89179021']"
242,['0.08486806']
243,['0.00386934']
244,"['0.06814875', '0.16274591', '199.95328647']"
245,['199.25019268']
246,"['0.08083626', '0.00058030', '0.82310594', '0.01277880', '0.02176550']"
247,['0.00242254']
248,['0.01546488']
249,['199.24732788']
250,['198.32261963']
251,['0.00788795']
252,['197.39941278']
253,['196.47920833']
254,['0.39026108']
255,['0.00493915']
256,['0.28528139']
257,['195.01375492']
258,['0.00261928']
259,['192.81559043']
260,['0.03960177']
261,['191.89221578']
262,['0.30960000']
263,['0.01514497']
264,['0.08385984']
265,['0.05568590']
266,['0.27966400']
267,['0.00097574']
268,['0.04661439']
269,['0.00085988']
270,['0.03406697']
271,['0.00074427']
272,['0.00062866']
273,['0.04911547']
274,['0.00051305']
275,['0.00039744']
276,['0.03969959']
277,['0.00028226']
278,"['0.00522683', '0.01076508']"
279,['191.56174034']
280,['0.00008996']
281,['0.00145749']
282,"['0.00020000', '0.00887813']"
283,['0.00134522']
284,['0.03483400']
285,['191.18001463']
286,['0.01891970']
287,['0.00123295']
288,"['0.00866523', '0.00016708']"
289,['0.00112109']
290,['0.00100923']
291,['0.10342900']
292,['0.00558628']
293,['190.25226627']
294,['190.24688756']
295,['188.47086459']
296,['215.84856363']
297,['0.00425621']
298,['0.01018049']
299,"['0.00432713', '0.01480000', '0.00723699']"
300,['0.00073353']
301,['0.06296650']
302,['0.00062415']
303,['0.01091056']
304,['0.00051477']
305,['215.79845883']
306,['0.02536633']
307,['0.00089737']
308,['0.01955044']
309,['0.98494485']
310,['0.01373444']
311,['0.00078799']
312,"['0.00194829', '0.00509450']"
313,['0.00791868']
314,['0.00040539']
315,['0.03827828']
316,['0.00067887']
317,['0.03246260']
318,['0.02664684']
319,['0.00029627']
320,['0.02083102']
321,['0.01501527']
322,['0.05715043']
323,['0.00056975']
324,['0.00046063']
325,['0.01104294']
326,"['0.00210290', '0.05704131']"
327,['0.00035151']
328,['0.05327915']
329,['0.04596704']
330,['0.00117773']
331,['0.04015161']
332,['0.00024239']
333,['0.03433614']
334,['0.00018715']
