----BEGIN SIMULATION RESULTS----
Scenario: sim_data.csv
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | BnB Usage | SRD Usage | Knapsack Usage | #BnB no change | #SRD no change | #Knapsack no change |
| sim_data.csv | 0.10000000 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -6.80000000E-7 | -6.80000000E-7 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| sim_data.csv | 636.11835720 | 38.2420000000 | 75 | 179 | 413 | 321 | 5 | 308 | 13 | 0.00014091 | 215.79845883 | 13.5907561225 | 48.5710757169 | 0.04970846 | 0.000154855015576 | -0.0000510000000 | 0.0496574600000 | 1 | 14 | 1.28660436137 | 1.25453228181 | 13 | 65 | 243 | 13 | 0 | 0 |
| sim_data.csv | 626.47561869 | 89.7170000000 | 200 | 341 | 769 | 659 | 5 | 627 | 32 | 0.00005264 | 215.79845883 | 23.1194377138 | 58.8651456546 | 0.08320568 | 0.000126260515933 | -0.000136000000 | 0.083069680000 | 1 | 14 | 1.16691957511 | 0.897174598102 | 31 | 142 | 486 | 31 | 0 | 1 |
| sim_data.csv | 683.25010811 | 133.094666667 | 245 | 511 | 1171 | 989 | 5 | 904 | 85 | 0.00005264 | 215.93038213 | 25.4783149556 | 61.6080025105 | 0.11467096 | 0.000115946370071 | -0.000166600000 | 0.114504360000 | 1 | 14 | 1.18402426694 | 0.817636803679 | 84 | 338 | 567 | 84 | 0 | 1 |
| sim_data.csv | 201.74501427 | 161.050500000 | 269 | 671 | 1599 | 1329 | 5 | 1196 | 133 | 0.00005264 | 249.82849403 | 33.0733143538 | 69.8364834474 | 0.14188714 | 0.000106762332581 | -0.000182920000 | 0.141704220000 | 1 | 14 | 1.20316027088 | 0.811785704028 | 132 | 497 | 700 | 132 | 0 | 1 |
| sim_data.csv | 123.56243593 | 188.198400000 | 324 | 840 | 2004 | 1660 | 5 | 1487 | 173 | 0.00005264 | 249.82849403 | 42.1087562800 | 72.8273193749 | 0.16782694 | 0.000101100566265 | -0.000220320000 | 0.167606620000 | 1 | 14 | 1.20722891566 | 0.782075126008 | 172 | 645 | 843 | 172 | 0 | 1 |
| sim_data.csv | 90.96294648 | 204.715666667 | 273 | 1016 | 2495 | 1984 | 5 | 1751 | 233 | 0.00005219 | 249.82849403 | 36.6060175119 | 68.7234646496 | 0.19327225 | 0.0000974154485887 | -0.000185640000 | 0.193086610000 | 1 | 23 | 1.25756048387 | 1.03284111211 | 232 | 783 | 969 | 232 | 0 | 1 |
| sim_data.csv | 199.97723168 | 211.312571429 | 178 | 1192 | 3064 | 2308 | 5 | 2049 | 259 | 0.00005219 | 249.82849403 | 31.9852822077 | 64.6428393598 | 0.21755477 | 0.0000942611655113 | -0.000121040000 | 0.217433730000 | 1 | 79 | 1.32755632582 | 2.03100879204 | 258 | 854 | 1196 | 258 | 0 | 1 |
| sim_data.csv | 158.82612192 | 203.163000000 | 150 | 1360 | 3574 | 2640 | 5 | 2363 | 277 | 0.00004209 | 249.82849403 | 30.2239348454 | 60.9246536096 | 0.23515157 | 0.0000890725643939 | -0.000102000000 | 0.235049570000 | 1 | 79 | 1.35378787879 | 2.38455003379 | 276 | 886 | 1478 | 276 | 0 | 1 |
| sim_data.csv | 8.90890290 | 197.818444444 | 20 | 1526 | 4179 | 2974 | 5 | 2672 | 302 | 0.00004209 | 249.82849403 | 28.4062817370 | 57.8140429605 | 0.24926397 | 0.0000838143813046 | -0.0000136000000 | 0.249250370000 | 1 | 79 | 1.40517821116 | 2.86169361832 | 301 | 928 | 1745 | 301 | 0 | 1 |
