id,input_amounts
0,['0.00046000']
1,['0.10000000']
2,['0.09950495']
3,['0.09918192']
4,['0.09886031']
5,['0.09591190']
6,['5.73004593']
7,['1.91285970']
8,['0.09509449']
9,['0.09480262']
10,['0.06472062']
11,['2.98592356']
12,['0.80435539']
13,['0.02948222']
14,['0.77303701']
15,['0.02920244']
16,['0.67811457']
17,['0.01229062']
18,['0.66966918']
19,['0.66344713']
20,"['0.65722508', '1.09288664']"
21,['0.57415759']
22,['0.56428636']
23,"['0.00934461', '0.03442858', '7.14130000', '0.15234500', '0.00131873']"
24,['0.55255826']
25,['0.01108336']
26,['0.49535766']
27,['0.22583784']
28,['0.00887749']
29,['0.00868148']
30,['0.09513099']
31,['0.00835183']
32,['0.00600128']
33,['0.08800864']
34,['0.00579253']
35,['6.69186392']
36,['0.00548738']
37,['0.07611449']
38,['0.00337887']
39,['0.07461180']
40,['0.00318083']
41,['0.07243145']
42,['0.00297595']
43,['0.07089524']
44,['6.11077152']
45,['5.89395158']
46,['3.30155784']
47,['0.00277757']
48,['0.02901273']
49,['3.22987432']
50,['0.00380708']
51,['0.00014333']
52,['3.19140554']
53,['0.00196078']
54,['2.74446208']
55,['0.00179436']
56,['2.29802444']
57,['2.20443209']
58,['0.02456821']
59,['2.08527571']
60,['2.06512142']
61,['0.01172291']
62,['0.24058793']
63,"['0.13000000', '0.00007230']"
64,['0.03045684']
65,['0.04044186']
66,['0.09136964']
67,['0.00162830']
68,['0.00148120']
69,"['0.06291778', '0.00133410', '0.49900000', '0.01040000']"
70,['2.25683172']
71,['0.31430448']
72,"['0.00711746', '0.30127715']"
73,['24.38491900']
74,['24.02228900']
75,['0.02547806']
76,['17.93916094']
77,['9.98360557']
78,['0.31586082']
79,"['2.35830000', '36.38510000', '0.13016508', '0.09807589', '0.00171973', '0.00445036', '0.13066032']"
80,['0.01235077']
81,['0.26717282']
82,['0.94686351']
83,['5.07636593']
84,['0.20467886']
85,"['3.64241574', '14.41445754']"
86,['0.18677767']
87,['0.16696873']
88,['0.00240213']
89,['0.15709993']
90,['0.00344565']
91,['0.14390136']
92,['0.14144161']
93,"['0.12530513', '0.33296165']"
94,['0.05806545']
95,['1.56658407']
96,['0.56644759']
97,['0.40150395']
98,['0.01392897']
99,['0.00133508']
100,['0.00119610']
101,['0.00105712']
102,['0.00091814']
103,['0.00171061']
104,['0.00113385']
105,['0.00716360']
106,['0.00659619']
107,['0.00077969']
108,"['8.84991102', '0.00445000', '0.00664104']"
109,['0.00064439']
110,['0.00031076']
111,['0.18716579']
112,['0.00078348']
113,['0.18139066']
114,['0.00065206']
115,['0.17561567']
116,['0.00017934']
117,['0.16984074']
118,['0.00398945']
119,['0.16406582']
120,['0.14537700']
121,['0.00052064']
122,['0.13960219']
123,['0.00038953']
124,['0.13382754']
125,['0.12805289']
126,['0.00232647']
127,['0.00219536']
128,['0.12227808']
129,['0.00206425']
130,['0.11650347']
131,['0.00025842']
132,['0.11072884']
133,['0.00012731']
134,['0.10495438']
135,['0.00193314']
136,['0.09918003']
137,['0.00180234']
138,['0.09340555']
139,['0.08763123']
140,['0.00167154']
141,['0.00154074']
142,['0.08185687']
143,['0.00140994']
144,['0.07608258']
145,['0.07335343']
146,['0.06315778']
147,"['6.84288194', '6.97036304']"
148,['0.05346127']
149,['4.02215290']
150,['0.00127914']
151,['0.00333617']
152,['0.00115022']
153,['0.00102221']
154,['4.01160596']
155,['4.00631668']
156,['3.99382919']
157,['2.06807842']
158,['0.00089420']
159,['0.00076634']
160,['0.14257771']
161,['0.13728200']
162,['0.13563463']
163,"['0.03123869', '0.03700000', '0.37801960', '0.00102730', '0.37317718']"
164,['0.10792271']
165,['0.03466782']
166,['0.02690798']
167,['0.02116561']
168,"['0.01114421', '0.00405736', '0.03300516']"
169,"['0.00331542', '0.28280218', '0.00520488']"
170,['0.21858256']
171,"['0.14425463', '0.00063864', '0.00615171', '0.10000000', '0.00981188']"
172,"['9.74076245', '0.00564906', '0.00664516', '0.01147751', '0.13033016']"
173,['0.00181766']
174,['9.66705696']
175,['9.62390343']
176,['9.62115458']
177,['9.61887289']
178,['9.48335581']
179,['9.47642111']
180,['9.46432977']
181,['8.92890584']
182,['3.64902339']
183,['0.00169580']
184,['3.63693485']
185,['3.63218708']
186,['0.00110550']
187,['3.39892861']
188,['3.28674252']
189,['3.28521372']
190,['3.28243492']
191,['3.27906812']
192,['2.29742927']
193,['2.29589992']
194,['1.31850672']
195,['1.31572792']
196,['0.34116767']
197,"['0.14852427', '0.00632321', '218.32762463']"
198,['0.33738832']
199,"['0.00503431', '0.02900000', '0.03152186', '0.33560852', '0.27780364', '0.02640675', '0.26384898']"
200,['217.51163358']
201,['0.97339885']
202,['0.00733565']
203,['0.97886225']
204,['0.01513085']
205,['0.00505530']
206,['217.50885323']
207,['0.00227550']
208,['216.55103918']
209,"['0.98494485', '215.60020038', '0.95620085', '0.96053465']"
210,['0.25800714']
211,['218.21236318']
212,"['0.00098668', '0.22682553']"
213,['218.16158207']
214,['0.05846990']
215,['218.06433620']
216,['0.19735588']
217,['217.97192201']
218,"['0.02015838', '0.02021198', '0.16132788']"
219,"['0.98777725', '0.00082870']"
220,['217.73420270']
221,"['0.03596880', '0.01210105', '0.82288344', '0.00004792']"
222,"['216.70288719', '0.00107900']"
223,"['0.00800000', '0.05841630', '0.07806148', '0.02776271', '0.16560971']"
224,"['0.00540613', '0.00529808']"
225,['0.07811508']
226,['216.61335920']
227,['0.01986033']
228,['216.27567643']
229,['216.26599034']
230,['0.03516366']
231,['216.18025331']
232,['0.39026108']
233,['0.06295674']
234,['0.06814875']
235,['216.04578099']
236,['0.26119917']
237,['0.00663588']
238,['0.09643085']
239,['201.37638461']
240,['0.00524401']
241,['200.43400256']
242,['0.00953550']
243,['0.00550370']
244,['199.49453791']
245,"['0.00156708', '0.00238021']"
246,['198.56065746']
247,['0.00238395']
248,['0.01774233']
249,['197.62969541']
250,['196.70498716']
251,['0.01304253']
252,['195.78178031']
253,['194.86157586']
254,"['0.09498405', '0.01009373', '0.00093715']"
255,['0.00405690']
256,['193.39612245']
257,['193.21427006']
258,['0.01100000']
259,['191.01610557']
260,['0.02160007']
261,['190.09273092']
262,['189.76225548']
263,['0.01514497']
264,['189.73231948']
265,['0.00983821']
266,['189.70414554']
267,['0.00092724']
268,"['0.00522683', '0.00020000', '0.00300000']"
269,['0.00081138']
270,['0.01606527']
271,['0.00069577']
272,['0.00058016']
273,['189.47109593']
274,['0.00101812']
275,['0.00046455']
276,['4.59877152']
277,['0.00090251']
278,['4.59390593']
279,['4.58887591']
280,['0.00008996']
281,['0.00034937']
282,['4.20715020']
283,['0.00078733']
284,['4.19811729']
285,['4.18220299']
286,['3.25445463']
287,['0.00023710']
288,['0.01413500']
289,['0.00067506']
290,['0.00056320']
291,['3.24571542']
292,['189.46168005']
293,['3.20525292']
294,['3.19987421']
295,['1.42385124']
296,['1.24722927']
297,['189.46034998']
298,"['0.92934885', '0.00564910']"
299,['0.92550141']
300,['0.00045134']
301,['0.00736463']
302,['0.00102889']
303,['0.89922678']
304,['0.00091951']
305,['0.89341072']
306,"['0.00571209', '0.93526805']"
307,['0.00034196']
308,['0.88759478']
309,"['0.00535312', '1.19712447']"
310,['0.88177878']
311,['0.00154856']
312,['0.87596302']
313,['0.87014722']
314,['0.00081013']
315,['0.86433144']
316,['0.00070101']
317,['0.85851576']
318,['0.85270000']
319,['0.00059189']
320,['0.84688418']
321,['0.84106843']
322,['0.00023258']
323,['0.00048277']
324,['0.00037365']
325,['0.83709610']
326,['0.83128030']
327,['0.00112760']
328,['0.82546450']
329,['0.81815239']
330,['0.00026453']
331,['0.81233696']
332,['0.00101848']
333,['0.80652149']
334,['0.00047520']
335,['1.19661268']
336,['0.80070611']
337,['0.79489061']
338,['0.00090962']
339,['189.45804206']
340,['0.78907512']
341,['0.76264340']
342,['0.74736969']
343,['1.19650382']
344,['0.00572164']
345,['0.73060612']
346,['0.69097723']
347,['0.93511488']
348,['0.18403108']
349,['0.15265021']
350,"['0.00104918', '0.00036634']"
351,['0.13454806']
