id,input_amounts
0,['0.00046000']
1,['0.10000000']
2,['0.09950495']
3,['0.09918192']
4,['0.09886031']
5,['0.09591190']
6,['5.73004593']
7,['1.91285970']
8,['0.09509449']
9,['0.09480262']
10,['0.06472062']
11,['2.98592356']
12,['0.80435539']
13,['0.02948222']
14,['0.77303701']
15,['0.02920244']
16,['0.67811457']
17,['0.01229062']
18,['0.66966918']
19,['0.66344713']
20,"['0.65722508', '1.09288664']"
21,['0.57415759']
22,['0.56428636']
23,"['7.14130000', '0.03300516']"
24,['0.55255826']
25,['0.01108336']
26,['0.49535766']
27,['0.22583784']
28,['0.00887749']
29,['0.00868148']
30,['0.09513099']
31,['0.00835183']
32,['0.00600128']
33,['0.08800864']
34,['0.00579253']
35,['6.52773816']
36,['0.00548738']
37,['0.07611449']
38,['0.00337887']
39,['0.07461180']
40,['0.00318083']
41,['0.00297595']
42,['0.00143974']
43,['0.07243145']
44,['5.94664576']
45,['5.72982582']
46,['3.13743208']
47,['0.03054894']
48,['0.02973215']
49,['3.06574856']
50,['0.00380708']
51,['0.00014333']
52,['3.02727978']
53,['0.00124136']
54,['2.58033632']
55,['0.00107494']
56,['2.13389868']
57,['2.04030633']
58,['0.02528763']
59,['1.92114995']
60,['1.90099566']
61,['0.01244233']
62,['24.38491900']
63,['24.18477293']
64,['0.07646217']
65,['0.05835610']
66,['0.04339230']
67,['0.00090888']
68,['0.00076178']
69,['24.08522687']
70,['23.82608329']
71,['0.15234500']
72,['21.88511239']
73,['21.58123514']
74,"['21.21860514', '0.00007230', '0.26384898', '0.13000000', '2.25683172', '2.35830000', '0.01040000']"
75,['0.13931767']
76,['20.15452408']
77,['12.19896871']
78,['0.11728526']
79,"['0.00615171', '36.38510000', '0.13066032', '7.29172907', '0.28280218', '0.00934461', '0.06859726', '0.00171973']"
80,['0.01494044']
81,['6.01442901']
82,['5.95193505']
83,['5.33803319']
84,['3.90408300']
85,"['3.88618181', '14.41445754']"
86,['1.81035014']
87,['1.79054120']
88,['0.00499180']
89,['1.78067240']
90,['0.00392475']
91,['0.00783688']
92,['1.76747383']
93,['1.75133735']
94,['1.35120087']
95,['1.30706439']
96,['0.30692791']
97,"['0.02900000', '0.03442858', '0.00981188', '0.01100000', '0.13033016']"
98,['0.14198427']
99,['0.00061468']
100,['0.00218971']
101,['0.00047570']
102,['0.00205073']
103,['0.00191228']
104,['0.00033672']
105,['0.00133552']
106,['0.00537713']
107,['0.00076811']
108,"['0.13521890', '0.37801960', '0.03700000', '0.37317718', '0.49900000', '0.27780364', '0.09807589', '0.09136964', '0.00131873']"
109,['0.00063281']
110,['0.00277039']
111,"['0.01246026', '0.00029918']"
112,['0.00263897']
113,['0.00692446']
114,['0.00114947']
115,"['0.00017460', '0.00564908']"
116,['0.00101805']
117,"['0.00664207', '0.00564914']"
118,['0.00250755']
119,['8.84991102']
120,['8.83122220']
121,['0.00084457']
122,['8.82544739']
123,['0.00071346']
124,['8.81967274']
125,['8.81389809']
126,['0.00058235']
127,['0.00045124']
128,['8.80812328']
129,['0.00088663']
130,['0.00800000']
131,['0.00075552']
132,['8.80234867']
133,['0.00062441']
134,['8.79657421']
135,['0.00032013']
136,['8.79079986']
137,['0.00049361']
138,['8.78502538']
139,['8.77925106']
140,['0.00036281']
141,['0.00222537']
142,['0.00645644']
143,['0.00068215']
144,['8.77347670']
145,['8.77074755']
146,['8.76055190']
147,"['8.75085539', '6.84288194']"
148,['5.80264525']
149,['5.75252015']
150,['0.00055135']
151,"['0.00209457', '0.00042243']"
152,['0.00094003']
153,['0.00081202']
154,['5.74197321']
155,['5.73668393']
156,['5.72419644']
157,['3.79844567']
158,['1.87294496']
159,['1.87281710']
160,['1.87268940']
161,['1.86739369']
162,['1.86574632']
163,['1.83803440']
164,['1.01779537']
165,['0.94454048']
166,['0.93678064']
167,['0.93103827']
168,['0.92135017']
169,['0.87326362']
170,['0.80063642']
171,['0.72630849']
172,['0.46565609']
173,['0.00068401']
174,['0.23807243']
175,['0.19491890']
176,['0.19217005']
177,['0.18988836']
178,['0.05437128']
179,['0.04743658']
180,"['0.00331542', '0.00048151', '0.00008996', '0.03534524', '0.00520488', '0.00569945', '0.00445000', '4.59877152', '0.02776271', '0.00405736', '0.01408371']"
181,"['9.74076245', '0.00664516', '0.00564896', '0.00663588']"
182,['4.16328700']
183,['4.15119846']
184,['4.15060816']
185,['4.14586039']
186,['0.00056215']
187,['3.91260192']
188,['3.80041583']
189,['3.79888703']
190,['3.79610823']
191,['3.79274143']
192,['2.81110258']
193,['2.80957323']
194,['1.83218003']
195,['1.82940123']
196,['0.85484098']
197,['4.47964483']
198,['0.85106163']
199,['3.50891483']
200,['0.84928183']
201,['2.54001878']
202,['0.84650148']
203,['1.57395558']
204,['0.61022418']
205,['0.60719438']
206,"['0.60441458', '0.84422113']"
207,['0.49076806']
208,"['0.96053465', '0.00564906', '0.01114421', '0.00107900', '0.00044333', '0.02640675']"
209,['218.32762463']
210,['0.05414650']
211,['218.21236318']
212,['0.48932126']
213,['218.16158207']
214,"['0.02021198', '0.02296489']"
215,['218.06433620']
216,['0.05846990']
217,['217.97192201']
218,"['0.02244190', '0.08391344', '0.03596880', '0.07811508']"
219,['0.45891853']
220,['217.73420270']
221,"['0.98494485', '0.01869271']"
222,['216.70288719']
223,"['0.13804375', '0.29324962']"
224,['0.09360979']
225,['0.08397730']
226,['216.61335920']
227,['0.04102588']
228,['216.27567643']
229,['216.26599034']
230,['0.03070105']
231,"['0.00023201', '0.00300000', '216.18025331', '0.00018933']"
232,['0.97339885']
233,['0.06295674']
234,"['0.00850215', '0.06814875']"
235,['216.04578099']
236,['0.16560971']
237,['0.02160007']
238,['0.00438073']
239,"['0.84433694', '0.39026108']"
240,"['0.00084139', '0.00293393']"
241,['201.37638461']
242,['0.01083250']
243,['0.00451370']
244,['200.43691996']
245,['199.50303951']
246,['199.50017471']
247,['0.00306690']
248,['0.00680070']
249,['198.56921266']
250,['197.64450441']
251,['0.01327972']
252,['196.72129756']
253,['195.80109311']
254,['0.29216237']
255,['0.01033092']
256,"['0.00085792', '0.18718268']"
257,['194.33563970']
258,['0.00210090']
259,['192.13747521']
260,"['0.00162010', '0.00613461']"
261,['191.21410056']
262,['190.88362512']
263,['0.01653127']
264,['190.85368912']
265,['0.00740162']
266,['190.82551518']
267,['0.00083119']
268,['0.01514497']
269,['0.00071533']
270,"['0.00661313', '0.00680886']"
271,['0.00059972']
272,['0.00093911']
273,['190.59246557']
274,['0.00082350']
275,['0.00048411']
276,['190.58304969']
277,['0.00070789']
278,['190.57818410']
279,['190.57315408']
280,['0.00059271']
281,['0.00036893']
282,['190.19142837']
283,['0.00025666']
284,['190.18239546']
285,['190.16648116']
286,['189.23873280']
287,['0.00048044']
288,['189.22999359']
289,['0.00036858']
290,['0.00047520']
291,['189.22121171']
292,['0.00216631']
293,['189.18074921']
294,['189.17537050']
295,['187.39934753']
296,['187.22272556']
297,['0.00466901']
298,['187.17262076']
299,['187.16317380']
300,['0.00025672']
301,['187.13689917']
302,['0.00236109']
303,['187.13108310']
304,['0.00083624']
305,['187.12526704']
306,['187.11945110']
307,['0.00036334']
308,['187.11363521']
309,['187.10781921']
310,['187.10200356']
311,['187.09618780']
312,['187.09607868']
313,['187.09026288']
314,['0.00072686']
315,['187.08444710']
316,['0.00225171']
317,['187.07863142']
318,['187.07281566']
319,['0.00061774']
320,['187.06699984']
321,['187.06118409']
322,['0.00102730']
323,['0.00020000']
324,['0.00009088']
325,['187.05721176']
326,['187.05139596']
327,['0.00091818']
328,['187.04558016']
329,['187.03826805']
330,['0.00050862']
331,['187.03245262']
332,['0.00080906']
333,['187.02663715']
334,['0.00070020']
335,['0.00214259']
336,['187.02082177']
337,['187.01500627']
338,['0.00059134']
339,['0.00203373']
340,['187.00919078']
341,['186.98275906']
342,['186.96748535']
343,['186.95072178']
344,['186.94971872']
345,['186.94705014']
346,['186.90742125']
347,['186.68768953']
348,['185.93660573']
349,['185.90522486']
350,['185.88712271']
351,['185.88575456']
352,['185.86220061']
353,['185.84944692']
354,['185.73960973']
