----BEGIN SIMULATION RESULTS----
Scenario: sim_data.csv
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | BnB Usage | SRD Usage | Knapsack Usage | #BnB no change | #SRD no change | #Knapsack no change |
| sim_data.csv | 0.10000000 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -6.80000000E-7 | -6.80000000E-7 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| sim_data.csv | 636.11995313 | 48.2460000000 | 106 | 179 | 388 | 321 | 0 | 314 | 7 | 0.00014439 | 201.37638461 | 28.9192715185 | 66.3385407952 | 0.04811253 | 0.000149883271028 | -0.0000720800000 | 0.0480404500000 | 1 | 11 | 1.20872274143 | 1.00158558097 | 7 | 32 | 282 | 7 | 0 | 0 |
| sim_data.csv | 626.47719676 | 111.526000000 | 229 | 341 | 747 | 659 | 0 | 634 | 25 | 0.00003587 | 216.02463667 | 48.9574394251 | 78.3111651987 | 0.08162761 | 0.000123865872534 | -0.000155720000 | 0.081471890000 | 1 | 11 | 1.13353566009 | 0.731664278811 | 25 | 119 | 515 | 25 | 0 | 0 |
| sim_data.csv | 683.25323564 | 166.654000000 | 325 | 511 | 1109 | 989 | 0 | 922 | 67 | 0.00003587 | 216.02463667 | 37.9126868338 | 70.9886430638 | 0.11154343 | 0.000112784054601 | -0.000221000000 | 0.111322430000 | 1 | 11 | 1.12133468150 | 0.666916159791 | 67 | 164 | 758 | 67 | 0 | 0 |
| sim_data.csv | 201.74730085 | 205.047500000 | 270 | 671 | 1575 | 1329 | 0 | 1173 | 156 | 0.00003587 | 224.92176707 | 34.1304196508 | 67.9871095560 | 0.13960056 | 0.000105041805869 | -0.000183600000 | 0.139416960000 | 1 | 11 | 1.18510158014 | 0.728334154787 | 156 | 272 | 901 | 156 | 0 | 0 |
| sim_data.csv | 123.56230781 | 207.675200000 | 223 | 840 | 2054 | 1660 | 0 | 1436 | 224 | 0.00003587 | 224.92176707 | 33.5109990506 | 66.8022489547 | 0.16795506 | 0.000101177746988 | -0.000151640000 | 0.167803420000 | 1 | 11 | 1.23734939759 | 0.782757346886 | 224 | 427 | 1009 | 224 | 0 | 0 |
| sim_data.csv | 90.96415404 | 211.936666667 | 255 | 1016 | 2481 | 1984 | 0 | 1719 | 265 | 0.00003587 | 224.92176707 | 31.9231681158 | 62.8911004040 | 0.19206469 | 0.0000968067993952 | -0.000173400000 | 0.191891290000 | 1 | 11 | 1.25050403226 | 0.801693711365 | 265 | 563 | 1156 | 265 | 0 | 0 |
| sim_data.csv | 199.97903952 | 216.798571429 | 169 | 1192 | 3046 | 2308 | 0 | 2022 | 286 | 0.00003587 | 224.92176707 | 28.8330150584 | 59.0427790314 | 0.21574693 | 0.0000934778726170 | -0.000114920000 | 0.215632010000 | 1 | 90 | 1.31975736568 | 2.12749448827 | 285 | 628 | 1395 | 285 | 0 | 1 |
| sim_data.csv | 158.82829201 | 200.843500000 | 115 | 1360 | 3585 | 2640 | 0 | 2339 | 301 | 0.00003587 | 224.92176707 | 27.3215743197 | 55.4593358274 | 0.23298148 | 0.0000882505606061 | -0.0000782000000 | 0.232903280000 | 1 | 90 | 1.35795454545 | 2.75353181552 | 300 | 640 | 1700 | 300 | 0 | 1 |
| sim_data.csv | 8.91158942 | 195.268666667 | 20 | 1526 | 4158 | 2974 | 0 | 2651 | 323 | 0.00003587 | 224.92176707 | 25.2784774457 | 52.4538939610 | 0.24657745 | 0.0000829110457297 | -0.0000136000000 | 0.246563850000 | 1 | 101 | 1.39811701412 | 3.29370810835 | 322 | 645 | 2007 | 322 | 0 | 1 |
| sim_data.csv | 13.04036148 | 180.393200000 | 93 | 1705 | 4569 | 3295 | 0 | 2956 | 339 | 0.00003587 | 224.92176707 | 23.0055195382 | 50.1365755245 | 0.25415102 | 0.0000771323277693 | -0.0000632400000 | 0.254087780000 | 1 | 101 | 1.38664643399 | 3.18625484356 | 338 | 661 | 2296 | 338 | 0 | 1 |
| sim_data.csv | 5.42930880 | 172.876727273 | 7 | 1878 | 5112 | 3622 | 0 | 3240 | 382 | 0.00003587 | 224.92176707 | 21.1405662504 | 48.2683972239 | 0.25904055 | 0.0000715186499172 | -0.00000476000000 | 0.259035790000 | 1 | 101 | 1.41137493098 | 3.10228160564 | 381 | 681 | 2560 | 381 | 0 | 1 |
| sim_data.csv | 5.00471205 | 159.148500000 | 7 | 2074 | 5611 | 3925 | 0 | 3543 | 382 | 0.00003587 | 224.92176707 | 19.3820973328 | 46.5151045085 | 0.26210572 | 0.0000667785273885 | -0.00000476000000 | 0.262100960000 | 1 | 101 | 1.42955414013 | 2.98696504386 | 381 | 715 | 2829 | 381 | 0 | 1 |
| sim_data.csv | 2.89551366 | 148.458923077 | 9 | 2243 | 6104 | 4256 | 0 | 3869 | 387 | 0.00003587 | 224.92176707 | 17.7925557877 | 44.8197532784 | 0.27261628 | 0.0000640545770677 | -0.00000612000000 | 0.272610160000 | 1 | 101 | 1.43421052632 | 2.89493170901 | 386 | 750 | 3120 | 386 | 0 | 1 |
| sim_data.csv | 0.87826531 | 139.305000000 | 9 | 2418 | 6599 | 4581 | 0 | 4189 | 392 | 0.00003587 | 224.92176707 | 16.7979732579 | 43.2490057919 | 0.27686421 | 0.0000604375049116 | -0.00000612000000 | 0.276858090000 | 1 | 101 | 1.44051517136 | 2.83886933887 | 391 | 779 | 3411 | 391 | 0 | 1 |
