id,input_amounts
0,['0.00046000']
1,['0.10000000']
2,['0.09950495']
3,['0.09918192']
4,['0.09886031']
5,['0.09591190']
6,['5.73004593']
7,['1.91285970']
8,['0.09509449']
9,['0.09480262']
10,['0.06472062']
11,['2.98592356']
12,['0.80435539']
13,['0.02948222']
14,['0.77303701']
15,['0.02920244']
16,['0.01229062']
17,['0.00384523']
18,['0.67811457']
19,['0.67189252']
20,"['1.09288664', '0.66567047']"
21,['0.58260298']
22,['0.57273175']
23,"['0.00934461', '0.03442858', '7.14130000']"
24,['0.56100365']
25,['0.50380305']
26,['0.50159718']
27,['0.23207736']
28,['0.00263797']
29,['0.00244196']
30,['0.10137051']
31,['0.09424816']
32,['0.00211231']
33,['0.09189761']
34,['0.00190356']
35,['6.53840419']
36,['0.08000346']
37,['0.07789495']
38,['0.00159841']
39,['0.07639226']
40,['0.00140037']
41,['0.07421191']
42,['0.00119549']
43,['0.07267570']
44,['5.95731179']
45,['5.74049185']
46,['3.14809811']
47,['0.03079319']
48,['0.02997640']
49,['3.07641459']
50,['0.00380708']
51,['0.00014333']
52,['3.03794581']
53,['0.00099711']
54,['2.59100235']
55,['0.00083069']
56,['2.14456471']
57,['2.05097236']
58,['0.02553188']
59,['1.93181598']
60,['1.91166169']
61,['0.01268658']
62,"['0.13016508', '0.13000000']"
63,['0.28280218']
64,['0.05994961']
65,['0.04184354']
66,['0.08712820']
67,['0.00066463']
68,['0.00051753']
69,['24.38491900']
70,['24.12577542']
71,['0.02687974']
72,['22.18480452']
73,['21.88092727']
74,"['0.00131873', '21.51829727', '0.03300516', '2.25683172', '0.37801960', '0.00808113']"
75,['0.05867634']
76,['18.11208755']
77,['10.15653218']
78,['0.18325612']
79,"['0.03664393', '0.03123869', '5.24929254', '0.01385241', '0.13033016', '0.00007230', '36.38510000', '0.00171973', '0.26384898', '0.09807589', '0.01040000', '0.15234500', '0.00037043', '0.13456812']"
80,['4.34577631']
81,['4.33582767']
82,['4.27333371']
83,['3.65943185']
84,['2.22548166']
85,"['14.41445754', '2.20758047']"
86,['0.13174880']
87,['0.11193986']
88,['0.10207106']
89,['0.10100401']
90,['0.08780544']
91,['0.08607040']
92,['0.08361065']
93,"['0.00017460', '0.27780364', '0.01246026', '0.00102730', '0.01413500', '8.84991102']"
94,['0.06747417']
95,['8.75504818']
96,['7.75491170']
97,['7.58996806']
98,['0.02333769']
99,['0.01657232']
100,['0.01643334']
101,['0.01629436']
102,['0.01615538']
103,['0.01601693']
104,['0.01544017']
105,['0.01508980']
106,['0.01452239']
107,['0.01191565']
108,['7.37562990']
109,['0.01178035']
110,['0.01144672']
111,['0.01131530']
112,['0.00554017']
113,['5.48511292']
114,['0.00540875']
115,['5.47933793']
116,['0.00527733']
117,['5.47356300']
118,['0.00514591']
119,['5.46778808']
120,['5.44909926']
121,['0.00348293']
122,['5.44332445']
123,['0.00335182']
124,['5.43754980']
125,['5.43177515']
126,['0.00322071']
127,['0.00308960']
128,['5.42600034']
129,['0.00295849']
130,['5.42022573']
131,['0.00282738']
132,['5.41445110']
133,['0.00269627']
134,['5.40867664']
135,['0.00256547']
136,['5.40290229']
137,['0.00243467']
138,['5.39712781']
139,['5.39135349']
140,['0.00230387']
141,['0.00217307']
142,['5.38557913']
143,['0.00204227']
144,['5.37980484']
145,['5.37707569']
146,['5.36688004']
147,"['0.02900000', '0.00445000', '0.00981188', '6.84288194', '0.01100000', '0.49900000', '0.03700000', '2.35830000']"
148,['5.35718353']
149,['5.30705843']
150,['0.00191147']
151,['5.29651149']
152,['0.00178255']
153,['0.00165454']
154,['5.29499298']
155,['5.28970370']
156,['5.27721621']
157,['3.35146544']
158,['0.00152653']
159,['0.00139867']
160,['1.42596473']
161,['1.42066902']
162,['1.41902165']
163,['1.39130973']
164,['0.57107070']
165,['0.49781581']
166,['0.49005597']
167,['0.48431360']
168,['0.47462550']
169,['0.42653895']
170,['0.35391175']
171,['0.27958382']
172,"['0.13066032', '0.00564896', '0.09136964']"
173,['0.00127097']
174,"['0.00569945', '0.01114421', '0.02640675']"
175,['0.01893142']
176,['0.01618257']
177,['4.59877152']
178,['4.46325444']
179,['4.45631974']
180,['4.44422840']
181,"['0.97339885', '3.90880447', '0.37317718', '0.00564900', '0.01390088', '0.00520488']"
182,"['0.00663588', '0.00008996', '0.00800000']"
183,['0.00252746']
184,['0.00632321']
185,"['0.00048151', '9.74076245', '0.00564914', '0.00503431', '0.10000000', '0.00664516', '0.00519207', '0.00564908', '0.00615171']"
186,['0.00114911']
187,['9.64187120']
188,['0.00564905']
189,['0.02404671']
190,['0.02126791']
191,['9.52968511']
192,['0.00405736']
193,['8.54804626']
194,['0.00412025']
195,['7.57065306']
196,['0.01790111']
197,['6.59609281']
198,['0.00564909']
199,['5.62536281']
200,['0.00386929']
201,['4.65646676']
202,['0.01412176']
203,['3.69040356']
204,['0.00664207']
205,['0.97886225']
206,['0.97608245']
207,['0.01184141']
208,['2.72667216']
209,['218.32762463']
210,"['0.00103029', '1.77583336']"
211,['218.21236318']
212,['0.98494485']
213,['218.16158207']
214,['0.05846990']
215,['218.06433620']
216,['0.08385984']
217,['217.97192201']
218,"['0.04657040', '0.14852427', '0.00530900', '0.00134145']"
219,"['0.07806148', '0.00157544', '0.05841630', '0.02776271']"
220,['217.73420270']
221,['0.95454212']
222,['216.70288719']
223,['0.95620085']
224,['0.01039461']
225,['0.61857113']
226,['216.61335920']
227,['0.01826840']
228,['216.27567643']
229,['216.26599034']
230,['0.16560971']
231,"['216.18025331', '0.00076212']"
232,['1.74562844']
233,['0.39026108']
234,"['0.03596880', '0.34890441']"
235,['216.04578099']
236,"['0.94889205', '0.00432713']"
237,['0.04783184']
238,['0.06295674']
239,"['0.00108894', '0.00794357', '201.37638461']"
240,['0.57561971']
241,"['0.00438073', '0.00361227', '0.78839726', '0.14818838']"
242,['0.04276304']
243,['1.61656653']
244,"['0.98777725', '0.02021198']"
245,['0.06150994']
246,"['0.01401991', '0.02015838', '0.00519256', '0.57275591', '0.31905481']"
247,['0.00252801']
248,['0.07811508']
249,['1.61511973']
250,"['0.08900217', '200.44292707']"
251,['0.69041148']
252,['0.92934885']
253,['199.60866879']
254,"['0.68746268', '0.03873124', '0.00495159']"
255,['0.00595226']
256,['0.62605782']
257,['198.14321538']
258,['195.94505089']
259,['195.94388910']
260,['0.00914440']
261,"['0.44420543', '0.06814875']"
262,['0.05864514']
263,['0.01986033']
264,['195.02051445']
265,['0.03152186']
266,"['0.07405518', '0.07341528', '0.08391344', '0.00360960']"
267,['0.00108121']
268,['194.99234051']
269,['0.00096535']
270,['0.02495143']
271,['0.00084974']
272,['0.00073413']
273,['0.00994219']
274,['0.00052631']
275,['0.00041070']
276,['0.01625079']
277,['0.00061852']
278,['0.01138520']
279,['194.98400440']
280,['0.00029552']
281,['0.00104918']
282,['0.02870914']
283,['0.00050334']
284,['0.96053465']
285,['0.94462035']
286,['0.01687199']
287,['0.00039107']
288,['0.01967623']
289,['0.00635518']
290,['0.00813278']
291,['0.18182514']
292,['0.00802092']
293,['0.00669085']
294,['194.60227869']
295,['192.82625572']
296,['0.14136264']
297,['0.08486806']
298,['0.08256014']
299,['0.07311318']
300,['0.00624332']
301,"['0.00020000', '0.00564906']"
302,['0.00027921']
303,['0.01471225']
304,['0.00093691']
305,['0.88546770']
306,['0.09125784']
307,['0.00082753']
308,"['0.00408000', '0.00178494']"
309,['0.00871639']
310,['192.64963375']
311,['0.00302296']
312,['0.01089435']
313,['0.00821834']
314,['0.00291384']
315,['0.00664104']
316,['0.00071815']
317,"['0.00240256', '0.00346807']"
318,['0.00723699']
319,['0.00060903']
320,['0.00889619']
321,"['0.00049991', '0.00105394', '0.00249900']"
322,['0.00082536']
323,['0.00016983']
324,['0.00018325']
325,['0.04683855']
326,"['0.87965176', '0.00571216']"
327,['0.00071624']
328,"['0.00826253', '0.00131214']"
329,['0.08544195']
330,['0.00060712']
331,['0.07962652']
332,['0.00049826']
333,['0.54263123']
334,['0.00142117']
335,['0.00038940']
336,['0.00866523']
337,['0.87949886']
338,['0.00028054']
