----BEGIN SIMULATION RESULTS----
Scenario: sim_data.csv
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | BnB Usage | SRD Usage | Knapsack Usage | #BnB no change | #SRD no change | #Knapsack no change |
| sim_data.csv | 0.10000000 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -6.80000000E-7 | -6.80000000E-7 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| sim_data.csv | 636.11895799 | 42.7020000000 | 83 | 179 | 405 | 321 | 0 | 308 | 13 | 0.00016983 | 201.37638461 | 9.79882117218 | 39.3203469907 | 0.04910767 | 0.000152983395639 | -0.0000564400000 | 0.0490512300000 | 1 | 14 | 1.26168224299 | 1.15111181525 | 13 | 76 | 232 | 13 | 0 | 0 |
| sim_data.csv | 626.47586679 | 89.7260000000 | 201 | 341 | 769 | 659 | 0 | 628 | 31 | 0.00003643 | 216.02696771 | 22.8257107606 | 57.9209227062 | 0.08295758 | 0.000125884036419 | -0.000136680000 | 0.082820900000 | 1 | 14 | 1.16691957511 | 0.835786623939 | 31 | 145 | 483 | 31 | 0 | 0 |
| sim_data.csv | 683.25180851 | 142.454666667 | 280 | 511 | 1136 | 989 | 0 | 904 | 85 | 0.00003643 | 216.02696771 | 25.1384160151 | 61.1834426494 | 0.11297056 | 0.000114227057634 | -0.000190400000 | 0.112780160000 | 1 | 14 | 1.14863498483 | 0.712206084864 | 85 | 266 | 638 | 85 | 0 | 0 |
| sim_data.csv | 201.74552483 | 174.866000000 | 230 | 671 | 1607 | 1329 | 0 | 1165 | 164 | 0.00002493 | 249.97147990 | 26.4709111035 | 63.2882572742 | 0.14137658 | 0.000106378164033 | -0.000156400000 | 0.141220180000 | 1 | 14 | 1.20917983446 | 0.758410674714 | 164 | 468 | 697 | 164 | 0 | 0 |
| sim_data.csv | 123.56278705 | 189.601600000 | 291 | 840 | 2014 | 1660 | 0 | 1464 | 196 | 0.00002493 | 249.97147990 | 38.4337530613 | 69.5735732623 | 0.16747582 | 0.000100889048193 | -0.000197880000 | 0.167277940000 | 1 | 14 | 1.21325301205 | 0.770347233785 | 196 | 619 | 845 | 196 | 0 | 0 |
| sim_data.csv | 90.96354753 | 202.554666667 | 275 | 1016 | 2488 | 1984 | 0 | 1746 | 238 | 0.00002493 | 249.97147990 | 33.4287224315 | 65.0745492294 | 0.19267120 | 0.0000971125 | -0.000187000000 | 0.192484200000 | 1 | 22 | 1.25403225806 | 1.01872725265 | 238 | 719 | 1027 | 238 | 0 | 0 |
| sim_data.csv | 199.97902882 | 211.296571429 | 189 | 1192 | 3039 | 2308 | 0 | 2035 | 273 | 0.00002493 | 389.61052145 | 30.8474857363 | 63.2930821871 | 0.21575763 | 0.0000934825086655 | -0.000128520000 | 0.215629110000 | 1 | 100 | 1.31672443674 | 2.30446640799 | 273 | 830 | 1205 | 273 | 0 | 0 |
| sim_data.csv | 158.82838448 | 198.203000000 | 133 | 1360 | 3576 | 2640 | 0 | 2348 | 292 | 0.00002493 | 389.61052145 | 27.7482103643 | 59.7608728416 | 0.23288901 | 0.0000882155340909 | -0.0000904400000 | 0.232798570000 | 1 | 100 | 1.35454545455 | 2.79731814499 | 292 | 845 | 1503 | 292 | 0 | 0 |
| sim_data.csv | 8.91205930 | 187.913777778 | 20 | 1526 | 4168 | 2974 | 0 | 2661 | 313 | 0.00002493 | 389.61052145 | 28.1877429645 | 56.5682088707 | 0.24610757 | 0.0000827530497646 | -0.0000136000000 | 0.246093970000 | 1 | 100 | 1.40147948890 | 3.39151874901 | 312 | 858 | 1804 | 312 | 0 | 1 |
| sim_data.csv | 13.04111901 | 175.288800000 | 131 | 1705 | 4553 | 3295 | 0 | 2978 | 317 | 0.00002493 | 389.61052145 | 25.3820363278 | 54.0887540583 | 0.25339349 | 0.0000769024248862 | -0.0000890800000 | 0.253304410000 | 1 | 100 | 1.38179059181 | 3.27061707883 | 316 | 870 | 2109 | 316 | 0 | 1 |
| sim_data.csv | 5.43018096 | 167.843818182 | 8 | 1878 | 5118 | 3622 | 0 | 3247 | 375 | 0.00002493 | 389.61052145 | 23.4511631870 | 52.2012120405 | 0.25816839 | 0.0000712778547764 | -0.00000544000000 | 0.258162950000 | 1 | 100 | 1.41303147432 | 3.18247865213 | 374 | 879 | 2369 | 374 | 0 | 1 |
| sim_data.csv | 5.00558252 | 154.435500000 | 7 | 2074 | 5618 | 3925 | 0 | 3550 | 375 | 0.00002493 | 389.61052145 | 21.4994533912 | 50.3308932271 | 0.26123525 | 0.0000665567515924 | -0.00000476000000 | 0.261230490000 | 1 | 100 | 1.43133757962 | 3.06515824646 | 374 | 911 | 2640 | 374 | 0 | 1 |
| sim_data.csv | 2.89641394 | 144.066461538 | 9 | 2243 | 6110 | 4256 | 0 | 3875 | 381 | 0.00002493 | 389.61052145 | 19.7350416903 | 48.5256396809 | 0.27171600 | 0.0000638430451128 | -0.00000612000000 | 0.271709880000 | 1 | 100 | 1.43562030075 | 2.96395740007 | 380 | 954 | 2922 | 380 | 0 | 1 |
| sim_data.csv | 0.87916573 | 135.187571429 | 9 | 2418 | 6605 | 4581 | 0 | 4195 | 386 | 0.00002493 | 389.61052145 | 18.5868695963 | 46.8461447206 | 0.27596379 | 0.0000602409495743 | -0.00000612000000 | 0.275957670000 | 1 | 100 | 1.44182492905 | 2.90180437555 | 385 | 983 | 3213 | 385 | 0 | 1 |
| sim_data.csv | 282.91075988 | 129.944000000 | 111 | 2572 | 6988 | 4927 | 0 | 4526 | 401 | 0.00002493 | 389.61052145 | 17.7813173831 | 45.4968887424 | 0.32544634 | 0.0000660536513091 | -0.0000754800000 | 0.325370860000 | 1 | 100 | 1.41830728638 | 2.80184921980 | 400 | 1027 | 3500 | 400 | 0 | 1 |
| sim_data.csv | 343.09892133 | 130.260750000 | 170 | 2735 | 7384 | 5264 | 0 | 4818 | 446 | 0.00002493 | 389.61052145 | 17.7409536811 | 44.4989815871 | 0.35315792 | 0.0000670892705167 | -0.000115600000 | 0.353042320000 | 1 | 100 | 1.40273556231 | 2.71644979495 | 445 | 1065 | 3754 | 445 | 0 | 1 |
| sim_data.csv | 265.71995941 | 131.915176471 | 141 | 2892 | 7834 | 5607 | 0 | 5082 | 525 | 0.00002493 | 389.61052145 | 18.1946638846 | 46.8325594253 | 0.38063597 | 0.0000678858516141 | -0.0000958800000 | 0.380540090000 | 1 | 100 | 1.39718209381 | 2.64117873193 | 524 | 1251 | 3832 | 524 | 0 | 1 |
| sim_data.csv | 19.93836165 | 132.944333333 | 157 | 3064 | 8274 | 5935 | 0 | 5366 | 569 | 0.00002493 | 389.61052145 | 19.1493070447 | 49.2642019156 | 0.40342689 | 0.0000679742021904 | -0.000106760000 | 0.403320130000 | 1 | 100 | 1.39410278012 | 2.58046097304 | 568 | 1353 | 4014 | 568 | 0 | 1 |
| sim_data.csv | 4.28307749 | 132.156105263 | 11 | 3230 | 8870 | 6269 | 0 | 5650 | 619 | 0.00002493 | 389.61052145 | 18.2187405170 | 48.1802455851 | 0.41169912 | 0.0000656722156644 | -0.00000748000000 | 0.411691640000 | 1 | 100 | 1.41489870793 | 2.58492785584 | 618 | 1376 | 4275 | 618 | 0 | 1 |
| sim_data.csv | 39.48395868 | 126.453000000 | 28 | 3404 | 9338 | 6595 | 0 | 5961 | 634 | 0.00002493 | 389.61052145 | 17.4007525444 | 47.0505061700 | 0.41804327 | 0.0000633879105383 | -0.0000190400000 | 0.418024230000 | 1 | 100 | 1.41592115239 | 2.53785797946 | 633 | 1413 | 4549 | 633 | 0 | 1 |
| sim_data.csv | 27.17962743 | 122.845047619 | 84 | 3570 | 9765 | 6929 | 0 | 6278 | 651 | 0.00002493 | 389.61052145 | 16.9896037576 | 45.9189132433 | 0.42420738 | 0.0000612220204936 | -0.0000571200000 | 0.424150260000 | 1 | 100 | 1.40929427046 | 2.50614837048 | 650 | 1425 | 4854 | 650 | 0 | 1 |
| sim_data.csv | 19.55858729 | 121.484636364 | 121 | 3730 | 10200 | 7269 | 0 | 6590 | 679 | 0.00002493 | 389.61052145 | 16.6469155380 | 44.8718590387 | 0.43020846 | 0.0000591839950475 | -0.0000822800000 | 0.430126180000 | 1 | 100 | 1.40321914981 | 2.46408334919 | 678 | 1457 | 5134 | 678 | 0 | 1 |
| sim_data.csv | 18.12492900 | 120.694173913 | 22 | 3897 | 10740 | 7602 | 0 | 6864 | 738 | 0.00002493 | 389.61052145 | 16.0287010275 | 44.0736738745 | 0.43672339 | 0.0000574484859248 | -0.0000149600000 | 0.436708430000 | 1 | 100 | 1.41278610892 | 2.44213865368 | 737 | 1489 | 5376 | 737 | 0 | 1 |
| sim_data.csv | 15.53567698 | 117.222175767 | 38 | 4065 | 11161 | 7893 | 0 | 7133 | 760 | 0.00002493 | 389.61052145 | 15.4484914805 | 43.3340961965 | 0.44195752 | 0.0000559936044596 | -0.0000258400000 | 0.441931680000 | 1 | 100 | 1.41403775497 | 2.41471153691 | 759 | 1505 | 5629 | 759 | 0 | 1 |
----END SIMULATION RESULTS----


