id,input_amounts
0,['0.00046000']
1,['0.10000000']
2,['0.09950495']
3,['0.09918192']
4,['0.09886031']
5,['0.09591190']
6,['5.73004593']
7,['1.91285970']
8,['0.09509449']
9,['0.09480262']
10,['0.06472062']
11,['2.98592356']
12,['0.80435539']
13,['0.02948222']
14,['0.77303701']
15,['0.02920244']
16,['0.67811457']
17,['0.01229062']
18,['0.66966918']
19,['0.66344713']
20,"['1.09288664', '0.65722508']"
21,['0.57415759']
22,['0.56428636']
23,['7.14130000']
24,['0.55255826']
25,['0.01108336']
26,['0.49535766']
27,['0.22583784']
28,['0.00887749']
29,['0.00868148']
30,['0.09513099']
31,['0.00835183']
32,['0.00600128']
33,['0.08800864']
34,['0.00579253']
35,['6.49483350']
36,['0.00548738']
37,['0.07611449']
38,['0.00337887']
39,['0.07461180']
40,['0.00318083']
41,['0.07243145']
42,['0.00297595']
43,['0.07089524']
44,['5.91374110']
45,['5.69692116']
46,['3.10452742']
47,['0.00277757']
48,['0.02901273']
49,['3.03284390']
50,['0.00380708']
51,['0.00014333']
52,['2.99437512']
53,['0.00196078']
54,['2.54743166']
55,['0.00179436']
56,['2.10099402']
57,['2.00740167']
58,['0.02456821']
59,['1.88824529']
60,['1.86809100']
61,['0.01172291']
62,['0.37801960']
63,['0.17787353']
64,['0.04355751']
65,['0.02545144']
66,['0.07832747']
67,['0.00162830']
68,['0.00148120']
69,['2.25683172']
70,['1.99768814']
71,['0.05671724']
72,"['0.13066032', '0.03300516', '0.01040000', '0.13000000']"
73,"['0.28280218', '0.13016508']"
74,['24.38491900']
75,['0.04368991']
76,['18.30179094']
77,['10.34623557']
78,['0.04987561']
79,"['36.38510000', '2.35830000']"
80,['0.13033016']
81,['0.58213113']
82,"['0.12038152', '0.51963717']"
83,['5.43899593']
84,['0.49900000']
85,"['4.00504574', '14.41445754']"
86,"['0.00118761', '0.02165750']"
87,"['0.00711746', '0.01048764']"
88,['0.00296917']
89,['0.02604983']
90,['0.00767082']
91,['0.05027026']
92,"['0.00593578', '0.01285126']"
93,['0.48109881']
94,['0.04781051']
95,['1.92921407']
96,['0.92907759']
97,['0.76413395']
98,['0.08096233']
99,['0.00133410']
100,['0.00119512']
101,['0.00105614']
102,['0.00091716']
103,['0.00190212']
104,['0.00077871']
105,['0.00663588']
106,['0.00258571']
107,['0.00042834']
108,['8.84991102']
109,['0.00132536']
110,['0.00099173']
111,['0.07419696']
112,['0.00086031']
113,['0.06842183']
114,['0.00072889']
115,['6.95939404']
116,['0.00029304']
117,"['0.00016162', '0.00564908']"
118,['0.00367403']
119,['0.06264684']
120,['6.95361911']
121,['0.00059747']
122,['0.04395802']
123,['0.00201105']
124,['0.03818337']
125,['6.94784430']
126,['0.00187994']
127,['0.00046636']
128,['0.03240872']
129,['0.00033525']
130,['0.02663411']
131,['0.00020414']
132,['0.02085948']
133,['0.00174883']
134,['0.01508502']
135,['0.00161803']
136,['0.00931067']
137,['0.00148723']
138,['0.54979579']
139,"['0.00017460', '0.00564896']"
140,['0.00135643']
141,['0.00122563']
142,['0.15234500']
143,['0.00109483']
144,['0.00800000']
145,['0.14657071']
146,['0.13637506']
147,"['6.84288194', '6.94206949']"
148,['0.12667855']
149,"['0.00445000', '0.00615171']"
150,['0.00096403']
151,['0.00353619']
152,['0.00083511']
153,['0.00070710']
154,['0.00527085']
155,['0.07655345']
156,['3.99385935']
157,['2.06810858']
158,['0.00057909']
159,['0.00045123']
160,['0.06406596']
161,['0.00606847']
162,['0.05877025']
163,"['0.26384898', '0.01246026', '0.54402147']"
164,['0.14260787']
165,['0.03105833']
166,['0.02329849']
167,['0.01755612']
168,['0.06935298']
169,"['0.00131873', '0.03442858', '0.03700000']"
170,"['0.00007303', '0.02776271', '0.00007230', '0.04657040']"
171,['4.59877152']
172,['4.33811912']
173,['0.00201768']
174,['4.11053546']
175,['0.00786802']
176,['0.02640675']
177,['4.06738193']
178,['0.02126643']
179,"['0.02412506', '0.00503431']"
180,['3.93186485']
181,"['0.27780364', '0.03123869', '0.97339885', '0.10000000', '3.39644092', '0.00048151', '0.09807589', '0.37317718', '0.02404671', '0.00569945']"
182,"['0.00189582', '0.01701352']"
183,['0.00442110']
184,['0.01433173']
185,"['0.00519207', '0.00331542', '0.00405736', '0.00300000', '0.00564910', '0.00934461', '0.01413500', '0.00564900', '0.00664516', '9.74076245', '0.02900000', '0.00564906', '0.00383080', '0.00520488']"
186,['0.00511917']
187,['9.60746894']
188,['0.00500035']
189,['0.00958396']
190,['0.00676629']
191,['9.49528285']
192,['0.00339949']
193,['8.51364400']
194,['0.00680516']
195,['7.53625080']
196,['6.56169055']
197,['6.55791120']
198,['0.00347155']
199,['5.58718120']
200,['0.00402636']
201,['4.61828515']
202,"['0.00107900', '0.00124601']"
203,['3.65222195']
204,['2.68849055']
205,['2.68546075']
206,['2.68268095']
207,['0.03152186']
208,['1.72486690']
209,['218.32762463']
210,['0.08391344']
211,['218.21236318']
212,['0.77402810']
213,['218.16158207']
214,['0.14852427']
215,['218.06433620']
216,['0.10991470']
217,['217.97192201']
218,['0.96053465']
219,['0.75895054']
220,['217.73420270']
221,['0.94889205']
222,['216.70288719']
223,"['0.16560971', '0.07806148', '0.02021198', '0.07388670']"
224,['0.03007506']
225,['0.07811508']
226,['216.61335920']
227,['0.02044257']
228,['216.27567643']
229,['216.26599034']
230,['0.03516366']
231,['216.18025331']
232,['0.97886225']
233,['0.59328163']
234,['0.06814875']
235,['216.04578099']
236,"['0.00981188', '0.09136964', '0.05841630', '0.00530900']"
237,['0.00564914']
238,['0.00238395']
239,"['201.37638461', '0.01100000']"
240,['0.06295674']
241,"['0.08486806', '0.84980034', '0.00438073', '0.00058034']"
242,['0.00564905']
243,['0.01011774']
244,"['0.00008996', '0.05846990', '0.01401991', '0.55192496', '0.30960000']"
245,['0.05273183']
246,"['0.08335210', '0.08385984', '0.00524401', '0.00104918', '0.74362537', '0.01408371']"
247,['0.06009294']
248,['0.39026108']
249,['200.44494896']
250,['199.52024071']
251,['0.00867094']
252,['198.59703386']
253,['197.67682941']
254,['196.21137600']
255,['196.10639631']
256,['0.38556128']
257,['196.10346701']
258,['0.01774233']
259,['193.90530252']
260,['0.05864614']
261,['0.95620085']
262,['0.03596880']
263,['0.04986703']
264,['0.20370889']
265,['0.01658054']
266,"['0.98777725', '0.01514497']"
267,['0.00032353']
268,['0.62572541']
269,['0.00093715']
270,['0.61738930']
271,['0.00082154']
272,['0.00070593']
273,['0.60868866']
274,['0.00059032']
275,['0.00047471']
276,['0.03994889']
277,['0.00035953']
278,['0.05311134']
279,['0.59927278']
280,['0.00161725']
281,['0.00603280']
282,['0.17553495']
283,['0.00150498']
284,['0.76982015']
285,"['0.00592053', '192.98192787']"
286,"['0.03508330', '0.00187014']"
287,['0.00139271']
288,"['0.00632321', '0.00249900']"
289,['0.00128085']
290,['0.00572214']
291,['0.75390585']
292,['0.00561028']
293,['0.02816368']
294,['192.06004934']
295,['0.71344335']
296,"['0.01001011', '0.04808132']"
297,['0.00428021']
298,['0.02278497']
299,['0.16650204']
300,['0.00116899']
301,['0.01333801']
302,['0.00047520']
303,"['0.00020000', '0.00564909']"
304,['0.00020767']
305,['0.94376965']
306,['4.91620000']
307,['0.00009829']
308,['0.00793683']
309,['215.84856363']
310,['0.21754707']
311,['0.00169175']
312,['0.00752194']
313,['215.84274798']
314,['0.00105961']
315,['0.14022741']
316,['0.00024435']
317,['0.13441173']
318,['0.12859597']
319,['0.93795371']
320,['0.12278015']
321,['215.83693220']
322,['0.00095049']
323,['0.00036582']
324,['0.00084137']
325,['0.11696440']
326,['0.11114860']
327,['0.00073225']
328,['0.10533280']
329,['215.83295987']
330,['0.00062313']
331,['0.09802069']
332,['190.28402637']
333,['0.09220522']
334,['0.00025670']
335,['0.00051427']
336,['0.08638984']
337,['0.08057434']
338,['4.91038411']
339,['0.21173131']
340,['0.07475885']
341,['0.04832713']
342,['0.03305342']
343,['0.00572164']
344,['0.00828905']
345,['0.21078180']
346,['0.53682138']
347,['0.93784459']
348,['0.18676079']
349,['215.82714444']
