----BEGIN SIMULATION RESULTS----
Scenario: sim_data.csv
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | BnB Usage | SRD Usage | Knapsack Usage | #BnB no change | #SRD no change | #Knapsack no change |
| sim_data.csv | 0.10000000 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -6.80000000E-7 | -6.80000000E-7 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| sim_data.csv | 636.12006450 | 48.4600000000 | 86 | 179 | 393 | 321 | 0 | 299 | 22 | 0.00007303 | 215.84274798 | 10.1343225888 | 42.0271424056 | 0.04800116 | 0.000149536323988 | -0.0000584800000 | 0.0479426800000 | 1 | 14 | 1.22429906542 | 1.04560160208 | 22 | 82 | 217 | 22 | 0 | 0 |
| sim_data.csv | 626.47610212 | 93.7860000000 | 179 | 341 | 779 | 659 | 0 | 616 | 43 | 0.00005804 | 215.84274798 | 26.4451963537 | 63.8014187932 | 0.08272225 | 0.000125526934750 | -0.000121720000 | 0.082600530000 | 1 | 14 | 1.18209408194 | 0.785650863863 | 43 | 227 | 389 | 43 | 0 | 0 |
| sim_data.csv | 683.25101575 | 132.702000000 | 228 | 511 | 1173 | 989 | 0 | 889 | 100 | 0.00005804 | 215.84274798 | 23.3296152953 | 59.3572951384 | 0.11376332 | 0.000115028634985 | -0.000155040000 | 0.113608280000 | 1 | 14 | 1.18604651163 | 0.704071043483 | 100 | 390 | 499 | 100 | 0 | 0 |
| sim_data.csv | 201.74479883 | 154.878500000 | 216 | 671 | 1634 | 1329 | 0 | 1178 | 151 | 0.00005804 | 249.36561387 | 22.9790884798 | 59.4251448871 | 0.14210258 | 0.000106924439428 | -0.000146880000 | 0.141955700000 | 1 | 14 | 1.22949586155 | 0.761954803226 | 151 | 606 | 572 | 151 | 0 | 0 |
| sim_data.csv | 123.56062454 | 165.425200000 | 224 | 840 | 2084 | 1660 | 0 | 1467 | 193 | 0.00005804 | 249.36561387 | 26.3601735312 | 61.3670144050 | 0.16963833 | 0.000102191765060 | -0.000152320000 | 0.169486010000 | 1 | 14 | 1.25542168675 | 0.814168240933 | 193 | 710 | 757 | 193 | 0 | 0 |
| sim_data.csv | 90.96288586 | 177.790000000 | 258 | 1016 | 2511 | 1984 | 0 | 1752 | 232 | 0.00005677 | 249.36561387 | 25.5825971833 | 57.9661611003 | 0.19333287 | 0.0000974460030242 | -0.000175440000 | 0.193157430000 | 1 | 16 | 1.265625 | 0.884395917950 | 232 | 825 | 927 | 232 | 0 | 0 |
| sim_data.csv | 199.97820744 | 187.244285714 | 170 | 1192 | 3063 | 2308 | 0 | 2040 | 268 | 0.00005677 | 249.36561387 | 22.8219817754 | 54.3328917096 | 0.21657901 | 0.0000938383925477 | -0.000115600000 | 0.216463410000 | 1 | 96 | 1.32712305026 | 2.18340095890 | 268 | 950 | 1090 | 268 | 0 | 0 |
| sim_data.csv | 158.82807803 | 183.741250000 | 167 | 1360 | 3554 | 2640 | 0 | 2360 | 280 | 0.00005677 | 249.36561387 | 20.7592456072 | 51.1068113701 | 0.23319546 | 0.0000883316136364 | -0.000113560000 | 0.233081900000 | 1 | 96 | 1.34621212121 | 2.53221473255 | 280 | 968 | 1392 | 280 | 0 | 0 |
| sim_data.csv | 8.91070033 | 184.163111111 | 27 | 1526 | 4161 | 2974 | 0 | 2661 | 313 | 0.00003709 | 249.36561387 | 19.1820659311 | 48.4662944480 | 0.24746654 | 0.00008321 | -0.0000183600000 | 0.247448180000 | 1 | 96 | 1.39912575656 | 3.02068425626 | 313 | 989 | 1672 | 313 | 0 | 0 |
