id,input_amounts
0,['0.00046000']
1,['0.10000000']
2,['0.09950495']
3,['0.09918192']
4,['0.09886031']
5,['0.09591190']
6,['5.73004593']
7,['1.91285970']
8,['0.09509449']
9,['0.09480262']
10,['0.06472062']
11,['2.98592356']
12,['0.80435539']
13,['0.02948222']
14,['0.77303701']
15,['0.02920244']
16,['0.01229062']
17,['0.00384523']
18,['0.67811457']
19,['0.67189252']
20,"['1.09288664', '0.66567047']"
21,['0.58260298']
22,['0.57273175']
23,"['0.00380708', '7.14130000', '0.00934461']"
24,['0.56100365']
25,['0.50380305']
26,['0.50159718']
27,['0.23207736']
28,['0.00263797']
29,['0.00244196']
30,['0.10137051']
31,['0.09424816']
32,['0.00211231']
33,['0.09189761']
34,['0.00190356']
35,['6.50778269']
36,['0.08000346']
37,['0.07789495']
38,['0.00159841']
39,['0.07639226']
40,['0.00140037']
41,['0.07421191']
42,['0.00119549']
43,['0.07267570']
44,['5.92669029']
45,['5.70987035']
46,['3.11747661']
47,['0.03079319']
48,['0.02997640']
49,['3.04579309']
50,['0.02553188']
51,['0.00014333']
52,['3.00732431']
53,['0.00099711']
54,['2.56038085']
55,['0.00083069']
56,['2.11394321']
57,['2.02035086']
58,['0.02169448']
59,['1.90119448']
60,['1.88104019']
61,['0.00884918']
62,['0.49900000']
63,['0.29885393']
64,['0.05650670']
65,['0.03840063']
66,['0.19930787']
67,['0.00066463']
68,['0.00051753']
69,"['0.15234500', '0.01040000', '0.09136964', '0.00102730', '0.00424373']"
70,['2.25683172']
71,['0.02343683']
72,['0.31586082']
73,['0.37801960']
74,['24.38491900']
75,['18.30179094']
76,['18.27975853']
77,['10.32420316']
78,['0.17085601']
79,"['2.35830000', '36.38510000']"
80,['5.41696352']
81,['0.12216801']
82,"['0.58213113', '0.05967405']"
83,['5.40701488']
84,['8.84991102']
85,"['14.41445754', '3.97306469']"
86,"['0.01198357', '0.01040950']"
87,['0.01538960']
88,['0.00251713']
89,['0.02783632']
90,['0.00552080']
91,['0.27780364']
92,['0.27534389']
93,['1.89723302']
94,['0.25920741']
95,['1.49709654']
96,['0.21507093']
97,['0.49696006']
98,['0.01463775']
99,['0.00145008']
100,['0.00131110']
101,['0.00037043']
102,['0.00117212']
103,['0.00378576']
104,['0.00103367']
105,['0.00320900']
106,['0.00787238']
107,['0.00068330']
108,"['0.05012729', '8.83200983']"
109,['0.00526564']
110,['0.00054800']
111,['0.28262190']
112,['0.00023145']
113,['0.27684677']
114,['0.00041658']
115,['0.27107178']
116,['0.00264159']
117,['0.26529685']
118,['0.00493201']
119,['0.25952193']
120,['0.24083311']
121,['0.00251017']
122,['0.23505830']
123,['0.00237906']
124,['0.22928365']
125,['0.22350900']
126,['0.00224795']
127,['0.00211684']
128,['0.21773419']
129,['0.00028516']
130,['0.21195958']
131,['6.99155957']
132,['0.20618495']
133,['0.00198573']
134,['0.20041049']
135,['0.00185493']
136,['0.19463614']
137,['0.00172413']
138,['0.18886166']
139,['0.18308734']
140,['0.00159333']
141,['0.00146253']
142,['0.17731298']
143,['0.00133173']
144,['0.17153869']
145,['0.16880954']
146,['0.15861389']
147,"['6.99142846', '6.84288194']"
148,['0.14891738']
149,['0.09879228']
150,['0.00120093']
151,['4.04321832']
152,['0.00107201']
153,['0.00094400']
154,['0.08824534']
155,['0.08295606']
156,['4.04169981']
157,['2.11594904']
158,['0.00081599']
159,['0.00068813']
160,['0.07046857']
161,['0.06517286']
162,['0.06352549']
163,"['0.37317718', '0.00564896', '0.13066032', '0.01413500', '0.00615171', '0.28280218', '0.00800000']"
164,['0.19044833']
165,['0.03581357']
166,['0.02805373']
167,['0.02231136']
168,['0.11719344']
169,"['0.06910689', '0.01262326']"
170,"['0.00331542', '0.13016508']"
171,"['0.00663588', '0.13033016', '0.10000000', '0.01408371', '0.00981188']"
172,"['0.03300516', '0.05909663', '0.13000000', '0.00564900']"
173,['0.00010003']
174,"['0.02640675', '0.01114421', '0.00569945']"
175,['0.00904701']
176,['0.00629816']
177,"['0.00131873', '0.03123869', '0.00503431', '0.09807589']"
178,"['0.00401647', '0.00326903']"
179,['0.03700000']
180,"['0.02900000', '0.02490866', '0.97339885', '0.00007230']"
181,"['0.00519207', '0.00008996', '0.04657040', '0.49179071', '4.59877152', '0.26384898', '0.00405736']"
182,['0.13010821']
183,['0.11801967']
184,['0.11742937']
185,"['0.11268160', '0.01246026', '0.02776271', '0.02404671', '0.03442858', '0.00564906', '0.00029611', '0.00564905', '0.00632321', '0.00445000']"
186,['0.00056043']
187,['0.14852427']
188,['0.03633818']
189,['0.03480938']
190,['0.03203058']
191,['9.74076245']
192,['0.02866378']
193,['8.75912360']
194,['0.02713443']
195,['7.78173040']
196,['0.02435563']
197,['6.80717015']
198,['0.02057628']
199,['5.83644015']
200,['0.01879648']
201,['4.86754410']
202,['0.01601613']
203,['3.90148090']
204,['0.01373578']
205,['0.01070598']
206,['2.93774950']
207,['0.00792618']
208,['1.97993545']
209,['218.32762463']
210,['0.08391344']
211,['218.21236318']
212,['0.05273183']
213,['218.16158207']
214,['1.02909665']
215,['218.06433620']
216,['0.07811508']
217,['217.97192201']
218,['0.99048708']
219,"['0.05846990', '0.78890297', '0.02021198']"
220,['217.73420270']
221,"['0.00647938', '0.70180794', '0.16560971']"
222,['216.70288719']
223,"['0.00564914', '0.00824856', '0.94889205']"
224,['0.02232910']
225,"['0.00664104', '0.00044161', '0.03596880']"
226,['216.61335920']
227,['0.04208708']
228,['216.27567643']
229,['216.26599034']
230,['0.03176225']
231,['216.18025331']
232,"['0.06295674', '0.06814875', '0.00438073']"
233,['0.39026108']
234,['0.34890441']
235,['216.04578099']
236,['0.28313961']
237,['0.01269661']
238,['0.00524401']
239,['201.37638461']
240,['0.00762781']
241,['200.43400256']
242,['0.01434092']
243,['0.00476401']
244,['199.49453791']
245,['0.00631579']
246,['198.56065746']
247,['0.00331721']
248,['197.62969541']
249,['197.62499561']
250,['196.70028736']
251,['0.00379721']
252,['195.77708051']
253,['194.85687606']
254,['0.11837129']
255,['0.00664207']
256,['0.62505151']
257,['193.39142265']
258,['0.00345099']
259,['191.19325816']
260,"['0.00371277', '0.00187041']"
261,['0.44319912']
262,['0.11272368']
263,"['0.01030912', '0.01339160']"
264,['0.08278768']
265,['0.01372940']
266,['190.26988351']
267,['0.00084841']
268,['0.05461374']
269,['0.00073255']
270,"['0.00715897', '0.00228920']"
271,['0.00061694']
272,['0.00050133']
273,['0.04627763']
274,['0.00038572']
275,['0.00069519']
276,['0.03686175']
277,['0.00027011']
278,['0.03199616']
279,['190.03683390']
280,['0.02696614']
281,['0.00058001']
282,['0.02685387']
283,['0.00564910']
284,['189.65510819']
285,['189.63919389']
286,['0.01782096']
287,['0.00046774']
288,"['0.00015405', '0.00866523']"
289,['0.00035588']
290,['0.00553683']
291,['188.71144553']
292,['0.00542497']
293,['0.00908175']
294,['188.67098303']
295,['186.89496006']
296,['186.71833809']
297,['0.00370304']
298,['186.66823329']
299,['186.65878633']
300,['186.63251170']
301,['186.63240232']
302,['0.00139512']
303,['186.62658625']
304,['0.00015493']
305,['186.62077019']
306,['186.61495425']
307,['0.00024402']
308,['186.60913836']
309,['186.60332236']
310,['186.59750671']
311,['0.00128574']
312,['186.59169095']
313,['186.58587515']
314,['0.00117662']
315,['186.58005937']
316,['0.00106750']
317,['186.57424369']
318,['186.56842793']
319,['0.00095838']
320,['186.56261211']
321,"['186.55679636', '0.00409490']"
322,['0.00047520']
323,['0.00036608']
324,['0.00048151']
325,['186.55686967']
326,['186.55105387']
327,['0.00025696']
328,['186.54523807']
329,['186.53792596']
330,['0.00084926']
331,['186.53211053']
332,['0.00037239']
333,['186.52629506']
334,['0.00074040']
335,['0.00026353']
336,['186.52047968']
337,['186.51466418']
338,['0.00063154']
339,['186.50884869']
340,['186.50789918']
341,['186.48146746']
342,['186.46619375']
343,['186.44943018']
344,['186.44842712']
345,['186.44575854']
346,['186.40612965']
347,['186.18639793']
348,['185.43531413']
349,['185.40393326']
350,['185.38583111']
351,['185.38446296']
352,['185.36090901']
353,['185.34815532']
