id,input_amounts
0,['0.00046000']
1,['0.10000000']
2,['0.09950495']
3,['0.09918192']
4,['0.09886031']
5,['0.09591190']
6,['5.73004593']
7,['1.91285970']
8,['0.09509449']
9,['0.09480262']
10,['0.06472062']
11,['2.98592356']
12,['0.80435539']
13,['0.02948222']
14,['0.77303701']
15,['0.02920244']
16,['0.67811457']
17,['0.01229062']
18,['0.01108336']
19,['0.66966918']
20,"['1.09288664', '0.66344713']"
21,['0.58037964']
22,['0.57050841']
23,"['0.00380708', '0.00102730', '0.15234500', '0.03442858', '0.55878031']"
24,['0.10351527']
25,['0.00486131']
26,['0.28280218']
27,"['0.04631467', '24.38491900']"
28,['0.00265544']
29,['0.00245943']
30,['24.30042627']
31,['0.01328236']
32,['0.00212978']
33,['24.29330392']
34,['0.00192103']
35,['24.28140977']
36,['0.01093181']
37,['0.00882330']
38,['0.00161588']
39,['0.00732061']
40,['0.00141784']
41,['0.00514026']
42,['0.00121296']
43,['0.13000000']
44,"['0.00014333', '0.03300516', '0.09136964', '0.09807589', '0.00360405']"
45,"['2.35830000', '0.13066032', '0.13033016', '0.08811749']"
46,['0.11476048']
47,['0.00903938']
48,['0.00822259']
49,['23.70031737']
50,['0.04307696']
51,['0.00101458']
52,['7.14130000']
53,['0.00084816']
54,['6.69435654']
55,['0.00068174']
56,['6.24791890']
57,['6.15432655']
58,['0.03923956']
59,['0.02639426']
60,['6.03517017']
61,['4.21063668']
62,['4.20603123']
63,['4.00588516']
64,['23.66184859']
65,['3.90633910']
66,['3.89137530']
67,['0.00051568']
68,['0.00036858']
69,['3.86292344']
70,['3.60377986']
71,['1.66280896']
72,['1.64978163']
73,['1.34590438']
74,['23.64374252']
75,['0.98327438']
76,['17.56061446']
77,['9.60505909']
78,['0.96124197']
79,"['0.91255397', '0.37801960', '2.25683172', '0.01413500', '0.00022148', '0.00623997', '0.03123869', '4.69781945', '0.00934461', '0.00615171', '0.00007230', '0.00171973', '0.13016508', '0.00377807', '0.27780364', '36.38510000']"
80,['6.94897715']
81,['6.93902851']
82,['6.87653455']
83,['6.26263269']
84,['4.82868250']
85,"['0.00002184', '0.00000567', '14.41445754', '0.00000546', '4.81078131', '0.00000546', '0.00000546']"
86,['2.73465453']
87,['2.71484559']
88,['2.70497679']
89,['2.70390974']
90,['2.69071117']
91,['2.68897613']
92,['2.68651638']
93,['2.67037990']
94,['2.27024342']
95,['2.22610694']
96,['1.22597046']
97,['1.06102682']
98,['0.84668866']
99,['0.83992329']
100,['0.83978431']
101,['0.83964533']
102,['0.83950635']
103,['0.83936790']
104,['0.83879114']
105,['0.83844077']
106,['0.83787336']
107,['0.83526662']
108,"['0.00131873', '6.84288194', '0.00664207']"
109,['0.83513132']
110,['0.83479769']
111,['0.83466627']
112,['0.82889114']
113,['0.82875972']
114,['0.82298473']
115,['0.82285331']
116,['0.81707838']
117,['0.81694696']
118,['0.81117204']
119,['0.80950906']
120,['0.79082024']
121,['0.78504543']
122,['0.78491432']
123,['0.77913967']
124,['0.77900856']
125,['0.77323391']
126,['0.76745910']
127,['0.76732799']
128,['0.76719688']
129,['0.76142227']
130,['0.76129116']
131,['0.75551653']
132,['0.75538542']
133,['0.74961096']
134,['0.74948016']
135,['0.74370581']
136,['0.74357501']
137,['0.73780053']
138,['0.73766973']
139,['0.73189541']
140,['0.72612105']
141,['0.72599025']
142,['0.72585945']
143,['0.72008516']
144,['0.71995436']
145,['0.71722521']
146,['0.70702956']
147,"['0.49900000', '0.00405736', '8.84991102', '0.01040000', '0.03700000', '0.37317718', '0.00664104', '0.00564900', '0.00564896']"
148,['0.69733305']
149,['0.64720795']
150,['0.63666101']
151,['0.63653209']
152,['0.63501358']
153,['0.63488557']
154,['0.63475756']
155,['0.62946828']
156,['4.96020372']
157,['3.03445295']
158,['0.61698079']
159,['0.61685293']
160,['0.61672523']
161,['0.61142952']
162,['0.60978215']
163,['1.10895224']
164,['0.28871321']
165,['0.21545832']
166,['0.20769848']
167,['0.20195611']
168,['0.19226801']
169,['0.14418146']
170,['0.58207023']
171,['0.50774230']
172,['0.24708990']
173,['0.01950624']
174,['0.07155426']
175,['0.01938438']
176,['0.01663553']
177,"['0.02404671', '0.00048151', '0.10000000', '0.01114421']"
178,['0.02840073']
179,['0.02146603']
180,"['0.00564908', '0.00663588', '9.74076245', '0.01100000']"
181,['9.22845831']
182,['0.01435384']
183,['0.00226530']
184,['0.00664516']
185,['3.94857586']
186,['0.00167500']
187,['3.71531739']
188,['0.00937469']
189,['0.00784589']
190,['0.02640675']
191,['3.60313130']
192,['0.00506709']
193,['2.62149245']
194,['1.64409925']
195,['1.64132045']
196,['0.02303995']
197,"['0.00564914', '0.00564906', '0.97339885']"
198,['0.00331542']
199,"['0.66676020', '0.00503431', '0.00445000', '0.02900000', '0.26384898']"
200,['0.00353774']
201,['0.97886225']
202,['0.01279905']
203,['0.98494485']
204,['0.02121345']
205,['0.01051870']
206,['0.98777725']
207,['4.59877152']
208,['4.59732472']
209,['218.32762463']
210,"['0.08391344', '0.00981188']"
211,['218.21236318']
212,"['0.02996320', '0.00155618']"
213,['218.16158207']
214,['0.05846990']
215,['218.06433620']
216,"['0.01385852', '0.00300000', '0.01926060']"
217,['217.97192201']
218,"['0.08385984', '0.14852427']"
219,"['0.00189739', '0.00773890', '0.07806148', '0.07811508']"
220,['217.73420270']
221,['0.94889205']
222,"['0.00249900', '0.00008996', '0.00075739', '216.70288719', '0.00107900']"
223,"['0.16560971', '0.03074640', '0.08335210', '0.06249011']"
224,['0.04657040']
225,['3.64648592']
226,['216.61335920']
227,['0.01246026']
228,['216.27567643']
229,['216.26599034']
230,"['0.00106305', '0.06295674']"
231,['216.18025331']
232,"['0.06814875', '3.60353450']"
233,['0.39026108']
234,"['0.03693791', '0.03596880']"
235,['216.04578099']
236,['0.34890441']
237,['0.04654486']
238,['3.54256748']
239,['3.54112068']
240,['0.00520488']
241,['2.59873863']
242,['0.04147606']
243,['0.00213543']
244,['1.65927398']
245,['0.00632321']
246,"['0.18413609', '0.00708831', '0.72539353', '0.00068863', '0.02021198']"
247,['0.01986033']
248,['0.00858928']
249,['201.37638461']
250,['200.45167636']
251,['0.00440542']
252,['199.52846951']
253,['198.60826506']
254,['197.14281165']
255,['197.03783196']
256,['197.03490266']
257,['196.85305027']
258,['0.00564909']
259,['194.65488578']
260,['0.00800000']
261,['193.73151113']
262,"['0.01514497', '0.00017460', '0.01471225']"
263,['0.08486806']
264,"['0.01818365', '0.01841353']"
265,"['0.00166700', '0.00633969']"
266,['193.40103569']
267,['0.00138320']
268,"['0.00448730', '0.00388948']"
269,['0.00126734']
270,"['0.00837006', '0.00145662']"
271,['0.00107370']
272,['0.00095809']
273,['0.02776271']
274,['0.00084248']
275,['0.00072687']
276,['0.03744426']
277,['0.00061169']
278,"['0.00564910', '0.00049651']"
279,['193.16798608']
280,['0.00106426']
281,['0.00095199']
282,"['0.00887813', '0.00020000']"
283,['0.00083972']
284,['0.01834683']
285,['192.78626037']
286,['0.88546770']
287,['0.00072745']
288,"['0.00061559', '0.00821834']"
289,['0.00115173']
290,['0.00103987']
291,"['215.84856363', '0.00432713']"
292,['0.00234108']
293,['0.92934885']
294,"['0.87672849', '0.92397014']"
295,['191.85851201']
296,['191.68189004']
297,['0.03257867']
298,['0.02462586']
299,['0.03027075']
300,['0.00092801']
301,['0.00826253']
302,['0.00081863']
303,['0.66366367']
304,['0.00070925']
305,['215.81237801']
306,"['0.00059987', '0.00524401']"
307,['0.00101101']
308,['0.01401991']
309,['0.00820391']
310,['1.88735794']
311,['0.00090163']
312,['191.63178524']
313,['0.03152186']
314,['0.00079251']
315,['0.01408371']
316,['0.00068339']
317,['1.88154218']
318,['0.02570608']
319,['0.00057427']
320,['0.02015838']
321,['0.00826803']
322,['0.00046515']
323,['0.00153562']
324,['0.00142650']
325,['1.87572642']
326,['0.00660355']
327,['0.00035603']
328,"['0.00530900', '0.00571209']"
329,['0.01434263']
330,['0.00078775']
331,['0.01517890']
332,['0.00067889']
333,"['0.00345841', '0.00238826']"
334,['0.00057003']
