----BEGIN SIMULATION RESULTS----
Scenario: sim_data.csv
| Scenario File | Current Balance | Mean #UTXO | Current #UTXO | #Deposits | #Inputs Spent | #Withdraws | #Uneconomical outputs spent | #Change Created | #Changeless | Min Change Value | Max Change Value | Mean Change Value | Std. Dev. of Change Value | Total Fees | Mean Fees per Withdraw | Cost to Empty | Total Cost | Min Input Size | Max Input Size | Mean Input Size | Std. Dev. of Input Size | BnB Usage | SRD Usage | Knapsack Usage | #BnB no change | #SRD no change | #Knapsack no change |
| sim_data.csv | 0.10000000 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -6.80000000E-7 | -6.80000000E-7 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
| sim_data.csv | 636.11832013 | 39.1520000000 | 79 | 179 | 411 | 321 | 5 | 310 | 11 | 0.00022148 | 215.81237801 | 13.4915153918 | 47.2903173815 | 0.04974553 | 0.000154970498442 | -0.0000537200000 | 0.0496918100000 | 1 | 16 | 1.28037383178 | 1.19734909689 | 11 | 61 | 249 | 11 | 0 | 0 |
| sim_data.csv | 626.47449549 | 80.7030000000 | 185 | 341 | 790 | 659 | 5 | 633 | 26 | 0.00005412 | 216.02218636 | 24.4191937883 | 61.4310211802 | 0.08432888 | 0.000127964916540 | -0.000125800000 | 0.084203080000 | 1 | 16 | 1.19878603945 | 0.921673373129 | 26 | 129 | 504 | 26 | 0 | 0 |
| sim_data.csv | 683.24864830 | 122.256000000 | 218 | 511 | 1200 | 989 | 5 | 906 | 83 | 0.00005412 | 249.98069881 | 29.9271169628 | 68.3478690932 | 0.11613077 | 0.000117422416582 | -0.000148240000 | 0.115982530000 | 1 | 16 | 1.21334681496 | 0.833256028694 | 83 | 276 | 630 | 83 | 0 | 0 |
| sim_data.csv | 201.74254482 | 147.349000000 | 202 | 671 | 1656 | 1329 | 5 | 1186 | 143 | 0.00005412 | 249.98069881 | 28.6976374244 | 66.6341960928 | 0.14435659 | 0.000108620458992 | -0.000137360000 | 0.144219230000 | 1 | 16 | 1.24604966140 | 0.828039199680 | 143 | 472 | 714 | 143 | 0 | 0 |
| sim_data.csv | 123.55762445 | 155.487200000 | 195 | 840 | 2127 | 1660 | 5 | 1481 | 179 | 0.00005412 | 249.98069881 | 27.6540795466 | 64.3640761399 | 0.17263842 | 0.000103999048193 | -0.000132600000 | 0.172505820000 | 1 | 16 | 1.28132530120 | 0.838933952954 | 179 | 647 | 834 | 179 | 0 | 0 |
| sim_data.csv | 90.96000544 | 165.465000000 | 245 | 1016 | 2541 | 1984 | 5 | 1769 | 215 | 0.00004979 | 249.98069881 | 24.9644854132 | 60.2216416836 | 0.19621329 | 0.0000988978276210 | -0.000166600000 | 0.196046690000 | 1 | 16 | 1.28074596774 | 0.817306652598 | 215 | 803 | 966 | 215 | 0 | 0 |
| sim_data.csv | 199.97482584 | 175.380000000 | 196 | 1192 | 3063 | 2308 | 5 | 2066 | 242 | 0.00004979 | 249.98069881 | 21.9031357022 | 56.3077122148 | 0.21996061 | 0.0000953035571924 | -0.000133280000 | 0.219827330000 | 1 | 51 | 1.32712305026 | 1.36461284834 | 242 | 905 | 1161 | 242 | 0 | 0 |
| sim_data.csv | 158.82442150 | 174.925250000 | 171 | 1360 | 3574 | 2640 | 5 | 2384 | 256 | 0.00004979 | 249.98069881 | 19.3097271201 | 52.9095452046 | 0.23685199 | 0.0000897166628788 | -0.000116280000 | 0.236735710000 | 1 | 100 | 1.35378787879 | 2.34787739806 | 256 | 913 | 1471 | 256 | 0 | 0 |
| sim_data.csv | 8.90732893 | 175.124000000 | 19 | 1526 | 4194 | 2974 | 5 | 2686 | 288 | 0.00004979 | 249.98069881 | 18.6684822593 | 50.3715855848 | 0.25083794 | 0.0000843436247478 | -0.0000129200000 | 0.250825020000 | 1 | 100 | 1.41022192334 | 3.00820322859 | 288 | 1014 | 1672 | 288 | 0 | 0 |
