id,input_amounts
0,['0.00046000']
1,['0.10000000']
2,['0.09950495']
3,['0.09918192']
4,['0.09886031']
5,['0.09591190']
6,['5.73004593']
7,['1.91285970']
8,['0.09509449']
9,['0.09480262']
10,['0.06472062']
11,['2.98592356']
12,['0.80435539']
13,['0.02948222']
14,['0.77303701']
15,['0.02920244']
16,['0.01229062']
17,['0.00384523']
18,['0.67811457']
19,['0.67189252']
20,"['0.66567047', '1.09288664']"
21,['0.58260298']
22,['0.57273175']
23,['7.14130000']
24,['0.56100365']
25,['0.50380305']
26,['0.50159718']
27,['0.23207736']
28,['0.00263797']
29,['0.00244196']
30,['0.10137051']
31,['0.09424816']
32,['0.00211231']
33,['0.09189761']
34,['0.00190356']
35,['6.49483350']
36,['0.08000346']
37,['0.07789495']
38,['0.00159841']
39,['0.07639226']
40,['0.00140037']
41,['0.07421191']
42,['0.00119549']
43,['0.07267570']
44,['5.91374110']
45,['5.69692116']
46,['3.10452742']
47,['0.03079319']
48,['0.02997640']
49,['3.03284390']
50,['0.00380708']
51,['0.00014333']
52,['2.99437512']
53,['0.00099711']
54,['2.54743166']
55,['0.00083069']
56,['2.10099402']
57,['2.00740167']
58,['0.02553188']
59,['1.88824529']
60,['1.86809100']
61,['0.01268658']
62,"['0.13016508', '0.49900000', '0.03123869']"
63,['0.46011786']
64,['0.04355751']
65,['0.02545144']
66,['0.36057180']
67,['0.00066463']
68,['0.00051753']
69,['0.33211994']
70,['2.25683172']
71,['0.31586082']
72,['0.37801960']
73,"['0.07297636', '0.30283349']"
74,['24.38491900']
75,"['0.26384898', '0.00808113']"
76,['18.30179094']
77,['10.34623557']
78,['0.07414235']
79,"['36.38510000', '2.35830000']"
80,['0.01311285']
81,['0.24983070']
82,"['0.58213113', '0.18733674']"
83,['5.43899593']
84,['0.02545435']
85,"['4.00504574', '14.41445754']"
86,['0.15549901']
87,['0.01048764']
88,['0.00316421']
89,['0.13569007']
90,['0.00755316']
91,['0.00581812']
92,['0.12249150']
93,['1.92921407']
94,['0.10635502']
95,['1.52907759']
96,['0.52894111']
97,['0.36399747']
98,['0.06221854']
99,['0.00037043']
100,['0.00061884']
101,['0.00047986']
102,['0.00023145']
103,['0.00209716']
104,['0.00034088']
105,['0.00152040']
106,['0.05545317']
107,['0.00095299']
108,"['8.84991102', '0.02900000', '0.00981188', '0.28280218']"
109,['0.00081769']
110,['0.00048406']
111,['0.05284643']
112,['0.00035264']
113,['0.04707130']
114,['0.00335837']
115,['0.04129631']
116,['0.00022122']
117,['0.03552138']
118,['0.02974646']
119,['0.02808348']
120,['0.00939466']
121,['0.00322695']
122,['0.14965931']
123,['0.00309584']
124,['0.14388466']
125,['0.13811001']
126,['0.00296473']
127,['0.00283362']
128,['0.13233520']
129,['0.00270251']
130,['0.12656059']
131,['0.00257140']
132,['0.12078596']
133,['0.00244029']
134,['0.11501150']
135,['0.00230949']
136,['0.10923715']
137,['0.00217869']
138,['0.10346267']
139,['0.09768835']
140,['0.00204789']
141,['0.00191709']
142,['0.09191399']
143,['0.00178629']
144,['0.00361985']
145,['0.08613970']
146,['0.07594405']
147,"['7.28082459', '6.84288194']"
148,['0.06624754']
149,"['0.00445000', '0.00615171']"
150,['0.00089070']
151,['0.01612244']
152,['0.00076178']
153,['0.00063377']
154,['0.01460393']
155,['4.33261445']
156,['4.32012696']
157,['2.39437619']
158,['0.00050576']
159,['0.00165549']
160,['0.46887548']
161,['0.00931465']
162,['0.46357977']
163,"['0.37317718', '0.43586785', '0.00008980', '0.00800000', '0.00331542']"
164,"['0.00564909', '0.15234500', '0.02776271']"
165,['0.11238547']
166,['0.10462563']
167,['0.09888326']
168,['0.08919516']
169,"['0.00520488', '0.04110861', '0.02640675']"
170,"['0.01246026', '0.04657040', '0.01413500', '0.00131873']"
171,"['0.13000000', '0.13066032', '0.00009300']"
172,"['9.74076245', '0.00564906', '0.10000000']"
173,['0.00037790']
174,['9.61871640']
175,['0.00766728']
176,['0.00491843']
177,['9.57556287']
178,['9.44004579']
179,['9.43311109']
180,['9.42101975']
181,['8.88559582']
182,['3.60571337']
183,['0.00152779']
184,['3.59362483']
185,['3.58887706']
186,['0.00093749']
187,['3.35561859']
188,['0.00263674']
189,['3.24343250']
190,['3.24065370']
191,['3.23728690']
192,['2.25564805']
193,['2.25411870']
194,['1.27672550']
195,['1.27394670']
196,['0.29938645']
197,['0.98777725']
198,['0.01704725']
199,"['0.97339885', '0.00008996']"
200,['0.01526745']
201,"['0.00405736', '0.13033016', '0.98494485', '0.00664207', '0.01100000']"
202,['0.00453916']
203,"['0.29560710', '0.27780364', '0.03442858', '0.00102730', '0.14852427', '0.00300000', '0.03300516', '0.17069339']"
204,['0.01248710']
205,['0.00945730']
206,['0.97886225']
207,['0.09807589']
208,['0.96053465']
209,['218.32762463']
210,['0.09662909']
211,['218.21236318']
212,['0.08391344']
213,['218.16158207']
214,"['0.03700000', '0.00166700']"
215,['218.06433620']
216,['0.07811508']
217,['217.97192201']
218,['0.94889205']
219,"['0.00667750', '0.05841630', '0.00934461', '0.09136964']"
220,['217.73420270']
221,"['0.74730794', '0.00519207', '0.04208708', '0.00569945', '0.06544748']"
222,"['216.70288719', '0.00048151', '0.00110794']"
223,"['0.02021198', '0.05846990', '0.08385984', '0.00969585', '0.16560971']"
224,['0.02104820']
225,"['0.03596880', '0.01141571', '0.00586218']"
226,['216.61335920']
227,['0.05351071']
228,['216.27567643']
229,['216.26599034']
230,['0.04318588']
231,['216.18025331']
232,"['0.01018727', '0.39026108']"
233,['0.06295674']
234,['0.06814875']
235,['216.04578099']
236,['0.27133258']
237,['0.02160007']
238,['0.00225881']
239,['201.37638461']
240,['0.00664104']
241,['200.43400256']
242,['0.10656426']
243,['0.00524401']
244,['199.49453791']
245,['0.10253246']
246,['198.56065746']
247,['0.00238395']
248,['197.62969541']
249,['197.62499561']
250,['196.70028736']
251,['0.09966766']
252,['195.77708051']
253,['194.85687606']
254,['4.59877152']
255,['0.01471225']
256,['4.49379183']
257,['4.31193944']
258,['0.01653127']
259,['2.11377495']
260,['0.01536948']
261,['1.19040030']
262,"['0.01178295', '0.02576455']"
263,['0.85992486']
264,['0.09671886']
265,['0.00983468']
266,['0.85000672']
267,['0.00081201']
268,['0.61695711']
269,['0.00069615']
270,"['0.60862100', '0.00379721']"
271,['0.00058054']
272,['0.00025604']
273,['0.06854492']
274,['0.00046493']
275,['0.00034932']
276,"['0.00081867', '0.00408000']"
277,['0.00047520']
278,['0.60366523']
279,['0.59863521']
280,['0.00023414']
281,['0.00036002']
282,['0.05912904']
283,['0.00093715']
284,['0.05009613']
285,['193.39142265']
286,['0.03418183']
287,['192.46367429']
288,['0.02544262']
289,['0.00326425']
290,['0.00082488']
291,['0.21690950']
292,['0.00315239']
293,['0.00755790']
294,['192.46356243']
295,"['0.00012187', '0.17644700', '0.00014043']"
296,['190.68753946']
297,['0.00377724']
298,['215.84856363']
299,['190.63743466']
300,['0.00071302']
301,['0.01666074']
302,['0.00060364']
303,['0.02404671']
304,['0.00049426']
305,['0.01084467']
306,['215.83911667']
307,['0.00024775']
308,['190.61116003']
309,['0.01823065']
310,"['0.00020000', '0.00564896']"
311,['0.00038488']
312,"['0.00013837', '0.00571209']"
313,['0.01040000']
314,['0.00027576']
315,['0.02015838']
316,['0.00146932']
317,['215.83330078']
318,['0.01241500']
319,['0.00136020']
320,['1.88735794']
321,['0.94376965']
322,['0.00125108']
323,['0.00114196']
324,['0.00016664']
325,['0.00659918']
326,['190.60534403']
327,['0.00078338']
328,['0.92934885']
329,['190.59952823']
330,['0.00067426']
331,['0.92203674']
332,['0.00056540']
333,['0.01480000']
334,['0.00045654']
335,['0.00103284']
336,['0.00898462']
337,"['0.00530900', '0.00887813']"
338,['0.00092398']
339,['0.00502873']
340,"['0.00572164', '0.91622127']"
341,"['0.00663588', '0.00866523']"
342,['0.89546220']
343,['0.00458422']
344,['0.00358116']
345,['0.87869863']
346,['0.83906974']
347,['0.93979732']
348,"['190.59371280', '0.00034768']"
349,"['0.00858314', '0.00133500', '0.00826253']"
350,['0.01434270']
